Group 6
119
1010.95
20

209,91,11,8,93,108,12,78,1,193,112,53,178,101,191,111,153,212
17.10831682591163,22.10831682591163,26.10831682591163,54.0,63.0,76.07106781186548,78.07106781186548,85.07106781186548,94.67661908732947,110.72649470845036,119.94603916574324,125.10831682591163,131.10831682591163,134.10831682591163,142.10831682591163,158.51144106334448,170.67371872351285,177.77273823710564

211,31,21,5,95,121,195,131,105,212
54.17157287525381,57.0,69.0,77.47213595499957,90.5548984852978,101.37155231168977,105.37155231168977,112.37155231168977,124.61419299880905,128.61419299880905

212,37,137,45,40,145,140,211
8.560911085414226,27.0,31.82842712474619,46.0,57.47213595499958,69.68323850592756,76.51166563067375,81.74773360817353

212,16,29,116,129,20,70,27,58,127,170,158,120,209
24.52786404500042,29.0,36.071067811865476,42.902019706710774,50.30514394414362,60.0,73.16227766016839,85.32455532033676,99.92688058737939,104.92688058737939,107.92688058737937,108.92688058737937,116.33000482481224,125.33000482481224

212,6,106,32,34,134,98,35,132,86,198,15,135,186,115,212
32.1690481051547,38.0,49.81665382639197,61.64760572123727,76.0,84.0,93.23606797749979,96.23606797749979,102.06449510224598,106.06449510224598,108.47870866461908,111.47870866461908,133.93233271169277,141.93233271169277,148.93233271169277,158.40446866669234

211,87,63,23,123,187,163,212
10.954638982812739,22.0,35.95994209933726,49.0,60.8309518948453,70.48780614433768,82.95994209933727,86.19601007683706

209,76,54,36,176,136,67,81,154,167,26,126,181,212
11.83772233983162,15.0,30.36931687685298,35.60538485435277,43.676452666218246,61.73183780435566,71.94294035528364,77.10521801545201,81.10521801545201,91.16747576375056,100.16747576375056,116.53679264060354,117.53679264060354,124.53679264060354

211,14,68,82,168,182,19,52,3,103,114,119,152,209
20.614835192865495,26.0,32.0,38.16227766016838,45.57649122254148,59.120494967859,63.534708530232095,72.77077650773188,75.93305416790028,86.76148129264647,91.58990841739265,104.58990841739266,124.78794744457822,136.7879474445782

212,85,185,61,48,51,148,83,161,49,151,149,183,210
26.559693491089448,37.0,51.06225774829855,61.06225774829855,67.66780902376254,76.90387700126233,88.61208093376169,100.61208093376169,117.21440620080432,122.62861976317743,133.43886943908407,138.85308300145718,147.85308300145718,151.85308300145718

211,65,69,169,99,38,199,22,165,138,122,209
40.59687576256715,47.0,53.16227766016838,65.99322955501368,78.59878083047766,86.69780034407046,98.40250025479008,100.81671381716316,111.81671381716316,134.0293842207151,140.0293842207151,154.27202490783438

211,90,10,43,71,110,143,171,190,88,188,211
18.0,31.0,37.0,45.0,49.242640687119284,69.45531109067119,70.45531109067119,76.45531109067119,82.69137906817096,88.10559263054407,106.16785037884262,119.16785037884262

209,60,96,160,2,196,102,211
55.57418169840686,57.810249675906654,71.0,81.81024967590665,86.22446323827975,94.22446323827975,106.46053121577954,115.74064110506006

211,17,80,44,30,130,117,180,50,144,47,147,150,211
63.0,64.0,72.23606797749979,76.23606797749979,79.47213595499957,95.527521093137,100.527521093137,105.76358907063678,112.59454096548208,123.59454096548208,126.00875452785517,140.07982233972066,149.55195829472024,171.59036310512553

210,28,128,41,72,55,9,109,155,172,141,211
28.76393202250021,31.0,52.16552506059644,63.800269407240776,75.12482472757753,89.0,100.3851648071345,118.14998786736791,121.3860558448677,134.38605584486768,139.8002694072408,148.62869653198698

212,56,33,97,64,92,156,192,133,197,164,211
36.0,39.0,41.82842712474619,58.0,66.605551275464,78.21110255092798,86.21110255092798,93.62531611330107,108.94987143363784,115.18593941113762,123.30904503675528,137.8530487820728

211,77,13,113,57,157,177,39,66,25,166,125,139,210
9.585786437626904,11.0,15.82842712474619,26.039529675674167,46.0,53.8309518948453,65.15550721518207,66.15550721518207,78.31778487535044,80.55385285285023,88.55385285285023,109.81819037532398,121.06083106244324,133.06083106244324

211,89,94,59,189,73,46,194,173,159,146,212
21.818283851010662,30.06449510224598,57.0,62.236067977499786,66.06449510224598,70.0,72.41421356237309,88.12241749487247,96.95084461961865,104.04986413321143,112.1729697588291,126.64510571382868

210,75,74,79,175,42,62,162,174,179,142,211
25.0,27.0,38.12310562561766,51.73887873148157,57.97494670898136,60.97494670898136,69.38916027135446,85.1994099472611,89.1994099472611,100.1994099472611,104.67154590226068,118.14368185726025

212,7,18,4,104,24,118,100,200,107,124,209
45.763932022500214,48.0,55.3851648071345,68.82547131604505,74.82547131604505,84.0,91.3851648071345,102.3851648071345,106.85730076213409,121.95632027572687,135.95632027572685,142.95632027572685

212,84,184,212
66.1690481051547,72.0,84.40312423743285,91.63919221493263
