it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,4812.9888632512875,4812.9888632512875,347.18375824332213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4812.9888632512875,4812.9888632512875,345.7149756105733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4598.410043693092,4812.9888632512875,344.2524067547395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4434.6173202020345,4598.410043693092,342.79602538804846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4346.47873047344,4434.6173202020345,341.3458053339397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4344.732574393399,4346.47873047344,338.46374501046745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4311.183077527285,4344.732574393399,337.0318529398191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4183.895379774591,4311.183077527285,335.6060185782525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4080.6831453303043,4183.895379774591,334.1862162982499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4084.6581824996924,4080.6831453303043,332.7724205807126,1.2257142857142858,1.21,0.99,1.155,1.254,1.155,1.21,1.188,1.2650000000000001
11,3898.453074354244,4080.6831453303043,331.3646060145018,1.2257142857142858,1.21,0.99,1.155,1.254,1.155,1.21,1.188,1.2650000000000001
12,3912.886983695232,3898.453074354244,329.96274729598235,1.2257142857142858,1.21,0.99,1.155,1.254,1.155,1.21,1.188,1.2650000000000001
13,3871.795747050132,3898.453074354244,328.56681922856745,1.2257142857142858,1.21,0.99,1.155,1.254,1.155,1.21,1.188,1.2650000000000001
14,3722.206276220681,3871.795747050132,327.17679672226626,1.2257142857142858,1.21,0.99,1.155,1.254,1.155,1.21,1.188,1.2650000000000001
15,3619.4328515176994,3722.206276220681,325.7926547932326,1.2257142857142858,1.21,0.99,1.155,1.254,1.155,1.21,1.188,1.2650000000000001
16,3583.0979089224693,3619.4328515176994,324.4143685633161,1.2257142857142858,1.21,0.99,1.155,1.254,1.155,1.21,1.188,1.2650000000000001
