it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,5241.323537508611,5241.323537508611,378.0815737629136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5241.323537508611,5241.323537508611,376.4660276932895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5109.567109990753,5241.323537508611,374.8573848669975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4919.576079320864,5109.567109990753,373.2556157864149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4714.022562867718,4919.576079320864,371.66069107996253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4694.487425904683,4714.022562867718,370.0725815015663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4619.27699086459,4694.487425904683,368.4912579301208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4624.718424462548,4619.27699086459,366.91669136895547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4538.434711584091,4619.27699086459,365.3488529453027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4538.8626228208295,4538.434711584091,363.7877139097686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4544.298358973288,4538.434711584091,362.2332456358056,1.21,1.1475,1.21,1.21,0.99,1.254,1.205,1.1925,1.247142857142857
11,4513.6122294095,4538.434711584091,360.6854196191876,1.21,1.1475,1.21,1.21,0.99,1.254,1.205,1.1925,1.247142857142857
12,4459.614774188265,4513.6122294095,359.14420747748744,1.21,1.1475,1.21,1.21,0.99,1.254,1.205,1.1925,1.247142857142857
13,4431.593248444244,4459.614774188265,357.6095809495563,1.21,1.1475,1.21,1.21,0.99,1.254,1.205,1.1925,1.247142857142857
14,4431.244593459544,4431.593248444244,356.08151189500546,1.21,1.1475,1.21,1.21,0.99,1.254,1.205,1.1925,1.247142857142857
15,4430.090274033442,4431.244593459544,354.5599722936904,1.21,1.1475,1.21,1.21,0.99,1.254,1.205,1.1925,1.247142857142857
18,4370.331651605073,4430.090274033442,350.0342518006021,1.21,1.1475,1.21,1.21,0.99,1.254,1.205,1.1925,1.247142857142857
19,4246.869021227977,4370.331651605073,348.53855219773044,1.21,1.1475,1.21,1.21,0.99,1.254,1.205,1.1925,1.247142857142857
20,4146.380456513368,4246.869021227977,347.04924373312747,1.21,1.298025,1.5279,1.5279,1.2001,1.53546,1.35795,1.444575,1.4626714285714284
21,4146.93467684229,4146.380456513368,345.56629909740013,1.21,1.298025,1.5279,1.5279,1.2001,1.53546,1.35795,1.444575,1.4626714285714284
22,4143.377223422649,4146.380456513368,344.0896910978486,1.21,1.298025,1.5279,1.5279,1.2001,1.53546,1.35795,1.444575,1.4626714285714284
23,4120.000300601467,4143.377223422649,342.61939265796775,1.21,1.298025,1.5279,1.5279,1.2001,1.53546,1.35795,1.444575,1.4626714285714284
24,4014.6601074518267,4120.000300601467,341.15537681695065,1.21,1.298025,1.5279,1.5279,1.2001,1.53546,1.35795,1.444575,1.4626714285714284
25,4016.605938342159,4014.6601074518267,339.6976167291941,1.21,1.298025,1.5279,1.5279,1.2001,1.53546,1.35795,1.444575,1.4626714285714284
26,4015.258530025292,4014.6601074518267,338.24608566380647,1.21,1.298025,1.5279,1.5279,1.2001,1.53546,1.35795,1.444575,1.4626714285714284
27,3961.300169966155,4014.6601074518267,336.8007570041174,1.21,1.298025,1.5279,1.5279,1.2001,1.53546,1.35795,1.444575,1.4626714285714284
28,3848.638581331218,3961.300169966155,335.36160424718975,1.21,1.298025,1.5279,1.5279,1.2001,1.53546,1.35795,1.444575,1.4626714285714284
29,3774.4846208387535,3848.638581331218,333.9286010033339,1.21,1.298025,1.5279,1.5279,1.2001,1.53546,1.35795,1.444575,1.4626714285714284
30,3755.2304197588455,3774.4846208387535,332.50172099562343,1.4379,1.5117114166666665,1.842621,1.842621,1.453099,1.8501054000000001,1.6023705,1.68262925,1.748044714285714
31,3755.964317422121,3755.2304197588455,331.08093805941354,1.4379,1.5117114166666665,1.842621,1.842621,1.453099,1.8501054000000001,1.6023705,1.68262925,1.748044714285714
32,3671.484210529412,3755.2304197588455,329.66622614186116,1.4379,1.5117114166666665,1.842621,1.842621,1.453099,1.8501054000000001,1.6023705,1.68262925,1.748044714285714
34,3609.429249701444,3671.484210529412,326.85491170750134,1.4379,1.5117114166666665,1.842621,1.842621,1.453099,1.8501054000000001,1.6023705,1.68262925,1.748044714285714
35,3590.5773050054586,3609.429249701444,325.4582576397273,1.4379,1.5117114166666665,1.842621,1.842621,1.453099,1.8501054000000001,1.6023705,1.68262925,1.748044714285714
36,3520.427660447682,3590.5773050054586,324.06757148773227,1.4379,1.5117114166666665,1.842621,1.842621,1.453099,1.8501054000000001,1.6023705,1.68262925,1.748044714285714
38,3455.4670596837423,3520.427660447682,321.30400103620735,1.4379,1.5117114166666665,1.842621,1.842621,1.453099,1.8501054000000001,1.6023705,1.68262925,1.748044714285714
39,3437.9448458114803,3455.4670596837423,319.93106606119045,1.4379,1.5117114166666665,1.842621,1.842621,1.453099,1.8501054000000001,1.6023705,1.68262925,1.748044714285714
40,3442.7288239194354,3437.9448458114803,318.5639976500493,1.643521,1.5715943024999999,2.15419479,2.15419479,1.76856801,2.056604346,1.6023705,1.8938029575,1.994564267142857
41,3444.601360749095,3437.9448458114803,317.2027707349021,1.643521,1.5715943024999999,2.15419479,2.15419479,1.76856801,2.056604346,1.6023705,1.8938029575,1.994564267142857
42,3385.3444895487846,3437.9448458114803,315.84736035498236,1.643521,1.5715943024999999,2.15419479,2.15419479,1.76856801,2.056604346,1.6023705,1.8938029575,1.994564267142857
49,3336.0642019636625,3385.3444895487846,306.52027626117564,1.643521,1.5715943024999999,2.15419479,2.15419479,1.76856801,2.056604346,1.6023705,1.8938029575,1.994564267142857
50,3294.108937447259,3336.0642019636625,305.21051227917224,1.84708579,1.605878359475,2.2076528421000003,2.1326528421,1.8558823299,2.1185383025399998,1.6023705,1.964864927925,2.084618624471428
51,3246.4270828256494,3294.108937447259,303.90634493080586,1.84708579,1.605878359475,2.2076528421000003,2.1326528421,1.8558823299,2.1185383025399998,1.6023705,1.964864927925,2.084618624471428
52,3212.412517269556,3246.4270828256494,302.6077503016091,1.84708579,1.605878359475,2.2076528421000003,2.1326528421,1.8558823299,2.1185383025399998,1.6023705,1.964864927925,2.084618624471428
53,3211.014254033703,3212.412517269556,301.31470457930124,1.84708579,1.605878359475,2.2076528421000003,2.1326528421,1.8558823299,2.1185383025399998,1.6023705,1.964864927925,2.084618624471428
54,3155.9008803142738,3211.014254033703,300.02718405335173,1.84708579,1.605878359475,2.2076528421000003,2.1326528421,1.8558823299,2.1185383025399998,1.6023705,1.964864927925,2.084618624471428
55,3119.4963867671017,3155.9008803142738,298.74516511454533,1.84708579,1.605878359475,2.2076528421000003,2.1326528421,1.8558823299,2.1185383025399998,1.6023705,1.964864927925,2.084618624471428
57,3098.5267216830694,3119.4963867671017,296.19753806548175,1.84708579,1.605878359475,2.2076528421000003,2.1326528421,1.8558823299,2.1185383025399998,1.6023705,1.964864927925,2.084618624471428
58,3059.090053412241,3098.5267216830694,294.93188323948357,1.84708579,1.605878359475,2.2076528421000003,2.1326528421,1.8558823299,2.1185383025399998,1.6023705,1.964864927925,2.084618624471428
59,3045.3255233324603,3059.090053412241,293.6716365682899,1.84708579,1.605878359475,2.2076528421000003,2.1326528421,1.8558823299,2.1185383025399998,1.6023705,1.964864927925,2.084618624471428
60,3045.6155217724627,3045.3255233324603,292.4167749428051,2.0486149321,1.9198195758802499,2.5155763136790004,2.441326313679,2.167323506601,2.3173529195146,1.916346795,2.19271627864575,2.393772438226714
61,3006.334274322017,3045.3255233324603,291.1672753526789,2.0486149321,1.9198195758802499,2.5155763136790004,2.441326313679,2.167323506601,2.3173529195146,1.916346795,2.19271627864575,2.393772438226714
62,2972.35517423197,3006.334274322017,289.9231148858847,2.0486149321,1.9198195758802499,2.5155763136790004,2.441326313679,2.167323506601,2.3173529195146,1.916346795,2.19271627864575,2.393772438226714
63,2928.950295659044,2972.35517423197,288.68427072829877,2.0486149321,1.9198195758802499,2.5155763136790004,2.441326313679,2.167323506601,2.3173529195146,1.916346795,2.19271627864575,2.393772438226714
64,2919.9614331928947,2928.950295659044,287.4507201632827,2.0486149321,1.9198195758802499,2.5155763136790004,2.441326313679,2.167323506601,2.3173529195146,1.916346795,2.19271627864575,2.393772438226714
66,2895.6671448508528,2919.9614331928947,284.99940942933324,2.0486149321,1.9198195758802499,2.5155763136790004,2.441326313679,2.167323506601,2.3173529195146,1.916346795,2.19271627864575,2.393772438226714
67,2898.2108322420568,2895.6671448508528,283.7816043108075,2.0486149321,1.9198195758802499,2.5155763136790004,2.441326313679,2.167323506601,2.3173529195146,1.916346795,2.19271627864575,2.393772438226714
