it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,5412.556284381988,5412.556284381988,390.4334055005145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5322.017357421823,5412.556284381988,388.7588310881031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,5224.67701159761,5322.017357421823,385.43119827860704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5195.778269045397,5224.67701159761,383.77807840390005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5089.495419405498,5195.778269045397,382.13204878377644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4893.361792169048,5089.495419405498,380.4930790080337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4848.603336372798,4893.361792169048,378.8611387968992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4848.549900087644,4848.603336372798,377.2361980004706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4800.167925547654,4848.549900087644,374.0071946981343,1.21,1.0725,1.155,1.2375,1.254,0.99,1.155,1.188,1.21
11,4758.817927436032,4800.167925547654,372.4030725367727,1.21,1.0725,1.155,1.2375,1.254,0.99,1.155,1.188,1.21
12,4744.952629020193,4758.817927436032,370.80583047810705,1.21,1.0725,1.155,1.2375,1.254,0.99,1.155,1.188,1.21
13,4745.3667825797875,4744.952629020193,369.2154390132794,1.21,1.0725,1.155,1.2375,1.254,0.99,1.155,1.188,1.21
14,4713.038068968233,4744.952629020193,367.6318687599957,1.21,1.0725,1.155,1.2375,1.254,0.99,1.155,1.188,1.21
15,4619.08552312484,4713.038068968233,366.05509046198284,1.21,1.0725,1.155,1.2375,1.254,0.99,1.155,1.188,1.21
16,4555.788044430476,4619.08552312484,364.48507498844833,1.21,1.0725,1.155,1.2375,1.254,0.99,1.155,1.188,1.21
17,4396.697492412505,4555.788044430476,362.92179333354215,1.21,1.0725,1.155,1.2375,1.254,0.99,1.155,1.188,1.21
18,4359.790773370229,4396.697492412505,361.36521661582066,1.21,1.0725,1.155,1.2375,1.254,0.99,1.155,1.188,1.21
19,4341.97332298188,4359.790773370229,359.81531607771325,1.21,1.0725,1.155,1.2375,1.254,0.99,1.155,1.188,1.21
20,4264.394233304633,4341.97332298188,358.27206308499086,1.5279,1.391775,1.38345,1.555125,1.57146,1.2501,1.4734500000000001,1.50612,1.4828999999999999
21,4243.541133349036,4264.394233304633,356.7354291262371,1.5279,1.391775,1.38345,1.555125,1.57146,1.2501,1.4734500000000001,1.50612,1.4828999999999999
22,4191.6244239046955,4243.541133349036,355.20538581232137,1.5279,1.391775,1.38345,1.555125,1.57146,1.2501,1.4734500000000001,1.50612,1.4828999999999999
23,4181.5775106572455,4191.6244239046955,353.6819048758746,1.5279,1.391775,1.38345,1.555125,1.57146,1.2501,1.4734500000000001,1.50612,1.4828999999999999
24,4141.96288199403,4181.5775106572455,352.1649581707667,1.5279,1.391775,1.38345,1.555125,1.57146,1.2501,1.4734500000000001,1.50612,1.4828999999999999
25,4074.2473821478134,4141.96288199403,350.6545176715868,1.5279,1.391775,1.38345,1.555125,1.57146,1.2501,1.4734500000000001,1.50612,1.4828999999999999
26,4005.9593254125753,4074.2473821478134,349.15055547312545,1.5279,1.391775,1.38345,1.555125,1.57146,1.2501,1.4734500000000001,1.50612,1.4828999999999999
28,3986.9605271168134,4005.9593254125753,346.16195495543633,1.5279,1.391775,1.38345,1.555125,1.57146,1.2501,1.4734500000000001,1.50612,1.4828999999999999
30,3908.061924265647,3986.9605271168134,343.1989357605156,1.760121,1.70785725,1.5896155,1.8695737500000003,1.7757454000000001,1.567599,1.7887155000000001,1.7267730857142856,1.798071
31,3865.62015031057,3908.061924265647,341.7269506585886,1.760121,1.70785725,1.5896155,1.8695737500000003,1.7757454000000001,1.567599,1.7887155000000001,1.7267730857142856,1.798071
32,3834.8408334819715,3865.62015031057,340.261278921636,1.760121,1.70785725,1.5896155,1.8695737500000003,1.7757454000000001,1.567599,1.7887155000000001,1.7267730857142856,1.798071
33,3776.6858587736756,3834.8408334819715,338.80189347154595,1.760121,1.70785725,1.5896155,1.8695737500000003,1.7757454000000001,1.567599,1.7887155000000001,1.7267730857142856,1.798071
34,3699.975961921945,3776.6858587736756,337.34876734634497,1.760121,1.70785725,1.5896155,1.8695737500000003,1.7757454000000001,1.567599,1.7887155000000001,1.7267730857142856,1.798071
35,3656.3486790554425,3699.975961921945,335.9018736996998,1.760121,1.70785725,1.5896155,1.8695737500000003,1.7757454000000001,1.567599,1.7887155000000001,1.7267730857142856,1.798071
36,3654.4550201788334,3656.3486790554425,334.4611858004216,1.760121,1.70785725,1.5896155,1.8695737500000003,1.7757454000000001,1.567599,1.7887155000000001,1.7267730857142856,1.798071
37,3621.412060010734,3654.4550201788334,333.02667703197193,1.760121,1.70785725,1.5896155,1.8695737500000003,1.7757454000000001,1.567599,1.7887155000000001,1.7267730857142856,1.798071
38,3597.046443950153,3621.412060010734,331.598320891971,1.760121,1.70785725,1.5896155,1.8695737500000003,1.7757454000000001,1.567599,1.7887155000000001,1.7267730857142856,1.798071
39,3551.491921129533,3597.046443950153,330.1760909917082,1.760121,1.70785725,1.5896155,1.8695737500000003,1.7757454000000001,1.567599,1.7887155000000001,1.7267730857142856,1.798071
40,3506.2181252655837,3551.491921129533,328.75996105565434,2.07251979,2.0207786775,1.903719345,2.1808780125,2.087987946,1.88192301,2.100828345,2.0395053548571425,2.11009029
41,3505.6089155615564,3506.2181252655837,327.3499049209765,2.07251979,2.0207786775,1.903719345,2.1808780125,2.087987946,1.88192301,2.100828345,2.0395053548571425,2.11009029
43,3516.219071614139,3505.6089155615564,324.54790996499935,2.07251979,2.0207786775,1.903719345,2.1808780125,2.087987946,1.88192301,2.100828345,2.0395053548571425,2.11009029
44,3476.044572449511,3505.6089155615564,323.1559193771748,2.07251979,2.0207786775,1.903719345,2.1808780125,2.087987946,1.88192301,2.100828345,2.0395053548571425,2.11009029
45,3471.367913064324,3476.044572449511,321.76989905671945,2.07251979,2.0207786775,1.903719345,2.1808780125,2.087987946,1.88192301,2.100828345,2.0395053548571425,2.11009029
