it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,4999.6754378415335,4999.6754378415335,360.6503480114169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4999.6754378415335,4999.6754378415335,359.11776099907337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4917.985015768351,4999.6754378415335,356.0720975267676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4902.170941494829,4917.985015768351,354.55896583249245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4804.8426128211295,4902.170941494829,353.0522642054428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4682.331443675196,4804.8426128211295,351.5519653209881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4556.3370840403195,4682.331443675196,350.058041970614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4531.706567338284,4556.3370840403195,348.57046706142916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4393.283330833558,4531.706567338284,347.0892136156736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4393.1730248652,4393.283330833558,345.6142547702296,1.1,1.155,1.21,1.254,1.2375,1.21,1.188,1.21,1.254
11,4324.509387374369,4393.1730248652,344.14556377613445,1.1,1.155,1.21,1.254,1.2375,1.21,1.188,1.21,1.254
12,4291.128281478837,4324.509387374369,342.68311399809556,1.1,1.155,1.21,1.254,1.2375,1.21,1.188,1.21,1.254
14,4223.083968955118,4291.128281478837,339.7768321144694,1.1,1.155,1.21,1.254,1.2375,1.21,1.188,1.21,1.254
17,4266.601222496626,4223.083968955118,335.4635590097076,1.1,1.155,1.21,1.254,1.2375,1.21,1.188,1.21,1.254
18,4191.620016021002,4223.083968955118,334.0380034917727,1.1,1.155,1.21,1.254,1.2375,1.21,1.188,1.21,1.254
19,4170.267358098453,4191.620016021002,332.6185058852864,1.1,1.155,1.21,1.254,1.2375,1.21,1.188,1.21,1.254
