it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,1188.1699423254624,1188.1699423254624,85.70834417631352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1188.1699423254624,1188.1699423254624,85.40546579636589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1138.0215721945704,1188.1699423254624,84.20461771524013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1137.6550500272424,1138.0215721945704,83.90705324304315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1120.3011636047881,1137.6550500272424,83.61054031193164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1049.4430586168532,1120.3011636047881,83.02065422224345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1018.5881518401537,1049.4430586168532,82.72727367108848,1.2375,1.0725,0.99,1.1,1.188,1.155,0.99,1.188,1.1
11,1014.3455111530344,1018.5881518401537,82.4349298757698,1.2375,1.0725,0.99,1.1,1.188,1.155,0.99,1.188,1.1
12,983.0834162013156,1014.3455111530344,82.14361917257258,1.2375,1.0725,0.99,1.1,1.188,1.155,0.99,1.188,1.1
13,962.8435675849022,983.0834162013156,81.853337910729,1.2375,1.0725,0.99,1.1,1.188,1.155,0.99,1.188,1.1
14,959.1892464146251,962.8435675849022,81.56408245237236,1.2375,1.0725,0.99,1.1,1.188,1.155,0.99,1.188,1.1
15,940.1393707935042,959.1892464146251,81.27584917249158,1.2375,1.0725,0.99,1.1,1.188,1.155,0.99,1.188,1.1
16,920.520183377439,940.1393707935042,80.98863445888571,1.2375,1.0725,0.99,1.1,1.188,1.155,0.99,1.188,1.1
17,901.626726904055,920.520183377439,80.70243471211873,1.2375,1.0725,0.99,1.1,1.188,1.155,0.99,1.188,1.1
18,874.965510378236,901.626726904055,80.41724634547435,1.2375,1.0725,0.99,1.1,1.188,1.155,0.99,1.188,1.1
23,857.3162176409285,874.965510378236,79.00635056375692,1.555125,1.391775,1.2001,1.419,1.50612,1.4734500000000001,1.2441,1.45112,1.419
24,837.4100010067308,857.3162176409285,78.7271558634708,1.555125,1.391775,1.2001,1.419,1.50612,1.4734500000000001,1.2441,1.45112,1.419
26,800.5543372279938,837.4100010067308,78.17172285285613,1.555125,1.391775,1.2001,1.419,1.50612,1.4734500000000001,1.2441,1.45112,1.419
34,767.4591230712357,800.5543372279938,75.9889020264575,1.5395737500000002,1.54285725,1.188099,1.53681,1.7110587999999998,1.4587155,1.2976590000000001,1.4366088,1.5698100000000001
38,741.865611626892,767.4591230712357,74.92045603960582,1.5395737500000002,1.54285725,1.188099,1.53681,1.7110587999999998,1.4587155,1.2976590000000001,1.4366088,1.5698100000000001
42,739.3184719650154,741.865611626892,73.86703299421501,1.5791780125000001,1.5274286774999999,1.17621801,1.8514419,1.6939482119999998,1.774128345,1.28468241,1.4772427119999998,1.6366119000000001
45,721.5117862778459,739.3184719650154,73.0866973348778,1.5791780125000001,1.5274286774999999,1.17621801,1.8514419,1.6939482119999998,1.774128345,1.28468241,1.4772427119999998,1.6366119000000001
48,714.7541758493054,721.5117862778459,72.31460518711201,1.5791780125000001,1.5274286774999999,1.17621801,1.8514419,1.6939482119999998,1.774128345,1.28468241,1.4772427119999998,1.6366119000000001
50,705.0488543501768,714.7541758493054,71.80441377437832,1.728386232375,1.512154390725,1.3844558298999998,1.832927481,1.78700872988,1.88838706155,1.2718355859000001,1.5724702848799998,1.7027457810000002
54,702.26867676813,705.0488543501768,70.79480400651038,1.728386232375,1.512154390725,1.3844558298999998,1.832927481,1.78700872988,1.88838706155,1.2718355859000001,1.5724702848799998,1.7027457810000002
55,702.209754868645,702.26867676813,70.54462748341605,1.728386232375,1.512154390725,1.3844558298999998,1.832927481,1.78700872988,1.88838706155,1.2718355859000001,1.5724702848799998,1.7027457810000002
58,681.969788668312,702.209754868645,69.79938991032604,1.728386232375,1.512154390725,1.3844558298999998,1.832927481,1.78700872988,1.88838706155,1.2718355859000001,1.5724702848799998,1.7027457810000002
59,696.1524615122831,681.969788668312,69.55273100750226,1.728386232375,1.512154390725,1.3844558298999998,1.832927481,1.78700872988,1.88838706155,1.2718355859000001,1.5724702848799998,1.7027457810000002
65,681.102996989801,681.969788668312,68.09097480450902,1.79360237005125,1.82703284681775,1.5356112716009997,1.97459820619,1.9671386425811999,1.8695031909345,1.379117230041,1.7467455820311997,1.7682183231900002
67,660.6081483266913,681.102996989801,67.610581797591,1.79360237005125,1.82703284681775,1.5356112716009997,1.97459820619,1.9671386425811999,1.8695031909345,1.379117230041,1.7467455820311997,1.7682183231900002
69,661.1254571831031,660.6081483266913,67.13357804221121,1.79360237005125,1.82703284681775,1.5356112716009997,1.97459820619,1.9671386425811999,1.8695031909345,1.379117230041,1.7467455820311997,1.7682183231900002
70,642.8283937066868,660.6081483266913,66.89633965482987,1.7756663463507374,1.9737625183495724,1.7602551588849897,1.9548522241281001,2.1124672561553877,1.8508081590251548,1.41532605774059,1.823563840496602,1.8005361399581001
73,642.5668589408447,642.8283937066868,66.18964280786318,1.7756663463507374,1.9737625183495724,1.7602551588849897,1.9548522241281001,2.1124672561553877,1.8508081590251548,1.41532605774059,1.823563840496602,1.8005361399581001
77,642.4257098490871,642.5668589408447,65.25897982493727,1.7756663463507374,1.9737625183495724,1.7602551588849897,1.9548522241281001,2.1124672561553877,1.8508081590251548,1.41532605774059,1.823563840496602,1.8005361399581001
79,627.6060140750299,642.4257098490871,64.79856700757769,1.7756663463507374,1.9737625183495724,1.7602551588849897,1.9548522241281001,2.1124672561553877,1.8508081590251548,1.41532605774059,1.823563840496602,1.8005361399581001
81,609.207779143365,627.6060140750299,64.3414024782385,1.75790968288723,2.0640248931660765,1.85265260729614,2.1553037018868193,2.2893425835938337,1.9973000774349032,1.401172797163184,1.9467567735202074,1.8925307785585193
82,582.8727539134366,609.207779143365,64.1140311536207,1.75790968288723,2.0640248931660765,1.85265260729614,2.1553037018868193,2.2893425835938337,1.9973000774349032,1.401172797163184,1.9467567735202074,1.8925307785585193
92,581.818775986448,582.8727539134366,61.8840446910429,1.9053305860583578,2.0433846442344157,1.9441260812231786,2.133750664867951,2.332449157757895,2.059827076660554,1.3871610691915521,2.009789205785005,1.928605470772934
103,581.7051255038207,581.818775986448,59.52053949427432,1.9962772801977744,2.0229507977920713,1.9246848204109468,2.1124131582192716,2.3641246661803166,2.0392288058939485,1.3732894584996367,2.036834170870012,1.9093194160652047
104,582.4972010949566,581.7051255038207,59.31020426088619,1.9962772801977744,2.0229507977920713,1.9246848204109468,2.1124131582192716,2.3641246661803166,2.0392288058939485,1.3732894584996367,2.036834170870012,1.9093194160652047
106,556.3560823051001,581.7051255038207,58.89176103184429,1.9962772801977744,2.0229507977920713,1.9246848204109468,2.1124131582192716,2.3641246661803166,2.0392288058939485,1.3732894584996367,2.036834170870012,1.9093194160652047
108,553.1609473100409,556.3560823051001,58.476269988486344,1.9962772801977744,2.0229507977920713,1.9246848204109468,2.1124131582192716,2.3641246661803166,2.0392288058939485,1.3732894584996367,2.036834170870012,1.9093194160652047
109,551.7883902268269,553.1609473100409,58.26962502188824,1.9962772801977744,2.0229507977920713,1.9246848204109468,2.1124131582192716,2.3641246661803166,2.0392288058939485,1.3732894584996367,2.036834170870012,1.9093194160652047
110,563.5509915962436,551.7883902268269,58.06371030265763,2.0863145073957967,2.0027212898141507,1.9054379722068373,2.376289026637079,2.5054834195185136,2.018836517835009,1.5495565639146403,2.1484658291613123,2.0522262219045526
112,563.842692682409,551.7883902268269,57.654061293149496,2.0863145073957967,2.0027212898141507,1.9054379722068373,2.376289026637079,2.5054834195185136,2.018836517835009,1.5495565639146403,2.1484658291613123,2.0522262219045526
116,551.4132820241882,551.7883902268269,56.843413306777514,2.0863145073957967,2.0027212898141507,1.9054379722068373,2.376289026637079,2.5054834195185136,2.018836517835009,1.5495565639146403,2.1484658291613123,2.0522262219045526
117,539.7941229015426,551.4132820241882,56.64253857166848,2.0863145073957967,2.0027212898141507,1.9054379722068373,2.376289026637079,2.5054834195185136,2.018836517835009,1.5495565639146403,2.1484658291613123,2.0522262219045526
119,537.5474006735014,539.7941229015426,56.2429161620608,2.0863145073957967,2.0027212898141507,1.9054379722068373,2.376289026637079,2.5054834195185136,2.018836517835009,1.5495565639146403,2.1484658291613123,2.0522262219045526
123,534.4295684443894,537.5474006735014,55.45210965664155,2.3954513623218388,2.102694076916009,2.0513835924847688,2.402526136370708,2.7004285853233285,2.0811481526566586,1.634060998275494,2.288231170869699,2.031703959685507
128,534.2027757732402,534.4295684443894,54.47921949741153,2.3954513623218388,2.102694076916009,2.0513835924847688,2.402526136370708,2.7004285853233285,2.0811481526566586,1.634060998275494,2.288231170869699,2.031703959685507
130,532.6904324651409,534.2027757732402,54.09485965906221,2.3714968486986203,2.0816671361468493,2.0513835924847688,2.708500875007001,2.783424299470095,2.1703366711300918,1.617720388292739,2.397348859161002,2.011386920088652
