it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,5219.637628906145,5219.637628906145,376.5172661230162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5195.693702051318,5219.637628906145,374.90918155352574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5071.064055138082,5195.693702051318,373.30796502493354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4982.729026052819,5071.064055138082,371.71358720421404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4896.150448340203,4982.729026052819,368.5452309801545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4874.4137592666,4896.150448340203,366.9711945350241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4804.802186966245,4874.4137592666,365.40388071312236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4834.669641614568,4804.802186966245,363.8432608024946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4697.811191500459,4804.802186966245,362.28930621381335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4520.229076739779,4697.811191500459,360.7419884798545,1.21,0.99,1.15,1.254,1.2375,1.1925,1.155,1.2,1.2375
12,4451.316032991001,4520.229076739779,357.6671503145985,1.21,0.99,1.15,1.254,1.2375,1.1925,1.155,1.2,1.2375
13,4334.549323434669,4451.316032991001,356.139573554688,1.21,0.99,1.15,1.254,1.2375,1.1925,1.155,1.2,1.2375
14,4305.958794063963,4334.549323434669,354.6185209912417,1.21,0.99,1.15,1.254,1.2375,1.1925,1.155,1.2,1.2375
15,4184.062872331579,4305.958794063963,353.10396475977467,1.21,0.99,1.15,1.254,1.2375,1.1925,1.155,1.2,1.2375
16,4107.613213131815,4184.062872331579,351.5958771148097,1.21,0.99,1.15,1.254,1.2375,1.1925,1.155,1.2,1.2375
17,4079.534648261805,4107.613213131815,350.0942304293691,1.21,0.99,1.15,1.254,1.2375,1.1925,1.155,1.2,1.2375
18,4031.1489715803505,4079.534648261805,348.5989971944683,1.21,0.99,1.15,1.254,1.2375,1.1925,1.155,1.2,1.2375
19,4015.529463941458,4031.1489715803505,347.11015001861233,1.21,0.99,1.15,1.254,1.2375,1.1925,1.155,1.2,1.2375
20,3954.9855592314216,4015.529463941458,345.62766162729355,1.5279,1.2001,1.4685,1.254,1.555125,1.510575,1.14345,1.353,1.555125
21,3954.6861655861376,3954.9855592314216,344.1515048624924,1.5279,1.2001,1.4685,1.254,1.555125,1.510575,1.14345,1.353,1.555125
22,3929.4436862402968,3954.6861655861376,342.6816526821797,1.5279,1.2001,1.4685,1.254,1.555125,1.510575,1.14345,1.353,1.555125
23,3819.6980957952123,3929.4436862402968,341.21807815982123,1.5279,1.2001,1.4685,1.254,1.555125,1.510575,1.14345,1.353,1.555125
24,3802.3423039801078,3819.6980957952123,339.7607544838846,1.5279,1.2001,1.4685,1.254,1.555125,1.510575,1.14345,1.353,1.555125
25,3780.3796796660017,3802.3423039801078,338.309654957348,1.5279,1.2001,1.4685,1.254,1.555125,1.510575,1.14345,1.353,1.555125
26,3717.999110671879,3780.3796796660017,336.86475299721104,1.5279,1.2001,1.4685,1.254,1.555125,1.510575,1.14345,1.353,1.555125
28,3704.550352457151,3717.999110671879,333.99343601132256,1.5279,1.2001,1.4685,1.254,1.555125,1.510575,1.14345,1.353,1.555125
30,3703.5117092582095,3704.550352457151,331.1465931241936,1.842621,1.2001,1.783815,1.35146,1.7595737500000002,1.71546925,1.4620155000000001,1.58697,1.81457375
31,3615.5058435064216,3703.5117092582095,329.73228420783073,1.842621,1.2001,1.783815,1.35146,1.7595737500000002,1.71546925,1.4620155000000001,1.58697,1.81457375
32,3607.5555408086034,3615.5058435064216,328.3240157271916,1.842621,1.2001,1.783815,1.35146,1.7595737500000002,1.71546925,1.4620155000000001,1.58697,1.81457375
33,3494.549544093387,3607.5555408086034,326.92176188390687,1.842621,1.2001,1.783815,1.35146,1.7595737500000002,1.71546925,1.4620155000000001,1.58697,1.81457375
34,3520.1104866929277,3494.549544093387,325.5254969897907,1.842621,1.2001,1.783815,1.35146,1.7595737500000002,1.71546925,1.4620155000000001,1.58697,1.81457375
35,3455.9416553208234,3494.549544093387,324.1351954663701,1.842621,1.2001,1.783815,1.35146,1.7595737500000002,1.71546925,1.4620155000000001,1.58697,1.81457375
36,3365.4819386440477,3455.9416553208234,322.75083184441615,1.842621,1.2001,1.783815,1.35146,1.7595737500000002,1.71546925,1.4620155000000001,1.58697,1.81457375
37,3321.1806842373053,3365.4819386440477,321.3723807634778,1.842621,1.2001,1.783815,1.35146,1.7595737500000002,1.71546925,1.4620155000000001,1.58697,1.81457375
38,3306.6434501768167,3321.1806842373053,319.99981697141703,1.842621,1.2001,1.783815,1.35146,1.7595737500000002,1.71546925,1.4620155000000001,1.58697,1.81457375
39,3277.5589273927308,3306.6434501768167,318.6331153239463,1.842621,1.2001,1.783815,1.35146,1.7595737500000002,1.71546925,1.4620155000000001,1.58697,1.81457375
40,3315.7689053455815,3277.5589273927308,317.2722507841679,2.09419479,1.518099,2.09597685,1.6679454000000002,2.0719780125000002,1.71546925,1.7473953450000002,1.9011003,2.0964280125
41,3273.226322849172,3277.5589273927308,315.91719842211546,2.09419479,1.518099,2.09597685,1.6679454000000002,2.0719780125000002,1.71546925,1.7473953450000002,1.9011003,2.0964280125
42,3271.9018830337386,3273.226322849172,314.567933414297,2.09419479,1.518099,2.09597685,1.6679454000000002,2.0719780125000002,1.71546925,1.7473953450000002,1.9011003,2.0964280125
