it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,2583.9754142714573,2583.9754142714573,186.39442579742186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2583.9754142714573,2583.9754142714573,185.6636039067026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2530.121472694358,2583.9754142714573,184.93564744843215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2519.175023999509,2530.121472694358,184.2105451877211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2414.570466321392,2519.175023999509,183.48828593373017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2366.1387034267946,2414.570466321392,182.05225190176685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2362.1387034267946,2366.1387034267946,181.3384549608157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2283.2049448042976,2362.1387034267946,180.6274567002851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2218.7667362831558,2283.2049448042976,179.91924614700935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,2163.524056516627,2218.7667362831558,178.51114448451085,1.1,1.21,1.2375,1.21,1.2375,0.99,1.2257142857142858,1.2466666666666666,1.155
12,2115.611728392235,2163.524056516627,177.81123164340255,1.1,1.21,1.2375,1.21,1.2375,0.99,1.2257142857142858,1.2466666666666666,1.155
13,2040.0463848984873,2115.611728392235,177.11406304544255,1.1,1.21,1.2375,1.21,1.2375,0.99,1.2257142857142858,1.2466666666666666,1.155
14,2016.7605590045787,2040.0463848984873,176.41962793090477,1.1,1.21,1.2375,1.21,1.2375,0.99,1.2257142857142858,1.2466666666666666,1.155
15,1958.5449134480937,2016.7605590045787,175.72791558225023,1.1,1.21,1.2375,1.21,1.2375,0.99,1.2257142857142858,1.2466666666666666,1.155
16,1884.9230764179156,1958.5449134480937,175.03891532396167,1.1,1.21,1.2375,1.21,1.2375,0.99,1.2257142857142858,1.2466666666666666,1.155
17,1850.419723489581,1884.9230764179156,174.35261652237878,1.1,1.21,1.2375,1.21,1.2375,0.99,1.2257142857142858,1.2466666666666666,1.155
18,1850.191700098539,1850.419723489581,173.66900858553407,1.1,1.21,1.2375,1.21,1.2375,0.99,1.2257142857142858,1.2466666666666666,1.155
19,1820.7377488566033,1850.191700098539,172.98808096298941,1.1,1.21,1.2375,1.21,1.2375,0.99,1.2257142857142858,1.2466666666666666,1.155
20,1812.6690286608975,1820.7377488566033,172.30982314567322,1.419,1.5279,1.445125,1.5279,1.555125,1.2276,1.5434571428571429,1.4817,1.4734500000000001
23,1795.1012604039372,1812.6690286608975,170.29096405147595,1.419,1.5279,1.445125,1.5279,1.555125,1.2276,1.5434571428571429,1.4817,1.4734500000000001
26,1768.4741882952576,1795.1012604039372,168.29575881500898,1.419,1.5279,1.445125,1.5279,1.555125,1.2276,1.5434571428571429,1.4817,1.4734500000000001
28,1768.346759138494,1768.4741882952576,166.97862602986362,1.419,1.5279,1.445125,1.5279,1.555125,1.2276,1.5434571428571429,1.4817,1.4734500000000001
30,1771.232699170352,1768.346759138494,165.6718015185923,1.4708100000000002,1.512621,1.76067375,1.677621,1.5395737500000002,1.380324,1.6930225714285714,1.590633,1.6237155
31,1756.3507738650967,1768.346759138494,165.02222962980485,1.4708100000000002,1.512621,1.76067375,1.677621,1.5395737500000002,1.380324,1.6930225714285714,1.590633,1.6237155
32,1749.6907118859265,1756.3507738650967,164.37520460557033,1.4708100000000002,1.512621,1.76067375,1.677621,1.5395737500000002,1.380324,1.6930225714285714,1.590633,1.6237155
34,1698.1242079659858,1749.6907118859265,163.08875524656446,1.4708100000000002,1.512621,1.76067375,1.677621,1.5395737500000002,1.380324,1.6930225714285714,1.590633,1.6237155
35,1700.2884183640251,1698.1242079659858,162.44931105742396,1.4708100000000002,1.512621,1.76067375,1.677621,1.5395737500000002,1.380324,1.6930225714285714,1.590633,1.6237155
36,1691.8778259925464,1698.1242079659858,161.81237402379156,1.4708100000000002,1.512621,1.76067375,1.677621,1.5395737500000002,1.380324,1.6930225714285714,1.590633,1.6237155
