it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,2412.335159991153,2412.335159991153,174.01319861406603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2412.335159991153,2412.335159991153,173.33687843188753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2356.2085309054073,2412.335159991153,171.99211361496216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2234.4033058016294,2356.2085309054073,171.32364858736779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2146.822018493536,2234.4033058016294,170.65778161781063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2120.048021639488,2146.822018493536,169.9945026086711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2079.670062768575,2120.048021639488,169.33380150157504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2029.8757177533817,2079.670062768575,168.02009295532923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2030.716214968928,2029.8757177533817,167.3670655942885,1.21,1.0725,1.155,1.2375,1.2375,0.99,1.21,1.155,1.21
11,1973.8951497880394,2029.8757177533817,166.71657629120722,1.21,1.0725,1.155,1.2375,1.2375,0.99,1.21,1.155,1.21
12,1897.8360534001717,1973.8951497880394,166.0686151816622,1.21,1.0725,1.155,1.2375,1.2375,0.99,1.21,1.155,1.21
13,1851.1355239635272,1897.8360534001717,165.42317243956947,1.21,1.0725,1.155,1.2375,1.2375,0.99,1.21,1.155,1.21
14,1837.4036707259195,1851.1355239635272,164.780238277035,1.21,1.0725,1.155,1.2375,1.2375,0.99,1.21,1.155,1.21
15,1838.697350490505,1837.4036707259195,164.13980294420656,1.21,1.0725,1.155,1.2375,1.2375,0.99,1.21,1.155,1.21
16,1815.265684755274,1837.4036707259195,163.50185672912565,1.21,1.0725,1.155,1.2375,1.2375,0.99,1.21,1.155,1.21
17,1788.0735940150057,1815.265684755274,162.86638995758028,1.21,1.0725,1.155,1.2375,1.2375,0.99,1.21,1.155,1.21
18,1754.500744897029,1788.0735940150057,162.2333929929583,1.21,1.0725,1.155,1.2375,1.2375,0.99,1.21,1.155,1.21
19,1732.6832018871198,1754.500744897029,161.60285623610125,1.21,1.0725,1.155,1.2375,1.2375,0.99,1.21,1.155,1.21
20,1705.9016990238163,1732.6832018871198,160.97477012515878,1.5279,1.2117749999999998,1.4734500000000001,1.555125,1.495125,1.2201,1.5279,1.41345,1.5021857142857142
21,1702.67834829724,1705.9016990238163,160.34912513544367,1.5279,1.2117749999999998,1.4734500000000001,1.555125,1.495125,1.2201,1.5279,1.41345,1.5021857142857142
22,1674.0603335028763,1702.67834829724,159.72591177928737,1.5279,1.2117749999999998,1.4734500000000001,1.555125,1.495125,1.2201,1.5279,1.41345,1.5021857142857142
23,1654.525963735392,1674.0603335028763,159.1051206058961,1.5279,1.2117749999999998,1.4734500000000001,1.555125,1.495125,1.2201,1.5279,1.41345,1.5021857142857142
24,1635.7404798026482,1654.525963735392,158.4867422012076,1.5279,1.2117749999999998,1.4734500000000001,1.555125,1.495125,1.2201,1.5279,1.41345,1.5021857142857142
25,1635.4149778075662,1635.7404798026482,157.87076718774827,1.5279,1.2117749999999998,1.4734500000000001,1.555125,1.495125,1.2201,1.5279,1.41345,1.5021857142857142
26,1622.559864859798,1635.4149778075662,157.2571862244911,1.5279,1.2117749999999998,1.4734500000000001,1.555125,1.495125,1.2201,1.5279,1.41345,1.5021857142857142
27,1617.559864859798,1622.559864859798,156.64599000671393,1.5279,1.2117749999999998,1.4734500000000001,1.555125,1.495125,1.2201,1.5279,1.41345,1.5021857142857142
28,1592.9039321386344,1617.559864859798,156.0371692658583,1.5279,1.2117749999999998,1.4734500000000001,1.555125,1.495125,1.2201,1.5279,1.41345,1.5021857142857142
29,1562.8669315413072,1592.9039321386344,155.430714769389,1.5279,1.2117749999999998,1.4734500000000001,1.555125,1.495125,1.2201,1.5279,1.41345,1.5021857142857142
30,1532.0786477945126,1562.8669315413072,154.82661732065404,1.842621,1.5296572499999999,1.7887155000000001,1.8695737500000003,1.8101737500000001,1.5378990000000001,1.842621,1.7293155000000002,1.8171638571428572
31,1511.8281392452154,1532.0786477945126,154.22486775874512,1.842621,1.5296572499999999,1.7887155000000001,1.8695737500000003,1.8101737500000001,1.5378990000000001,1.842621,1.7293155000000002,1.8171638571428572
32,1501.3143456207636,1511.8281392452154,153.62545695835874,1.842621,1.5296572499999999,1.7887155000000001,1.8695737500000003,1.8101737500000001,1.5378990000000001,1.842621,1.7293155000000002,1.8171638571428572
33,1498.3424456499192,1501.3143456207636,153.02837582965788,1.842621,1.5296572499999999,1.7887155000000001,1.8695737500000003,1.8101737500000001,1.5378990000000001,1.842621,1.7293155000000002,1.8171638571428572
34,1466.2827816976946,1498.3424456499192,152.4336153181341,1.842621,1.5296572499999999,1.7887155000000001,1.8695737500000003,1.8101737500000001,1.5378990000000001,1.842621,1.7293155000000002,1.8171638571428572
35,1434.0764817503032,1466.2827816976946,151.84116640447016,1.842621,1.5296572499999999,1.7887155000000001,1.8695737500000003,1.8101737500000001,1.5378990000000001,1.842621,1.7293155000000002,1.8171638571428572
36,1433.2888680809392,1434.0764817503032,151.25102010440344,1.842621,1.5296572499999999,1.7887155000000001,1.8695737500000003,1.8101737500000001,1.5378990000000001,1.842621,1.7293155000000002,1.8171638571428572
37,1431.5679492225172,1433.2888680809392,150.66316746858948,1.842621,1.5296572499999999,1.7887155000000001,1.8695737500000003,1.8101737500000001,1.5378990000000001,1.842621,1.7293155000000002,1.8171638571428572
38,1427.0643326724726,1431.5679492225172,150.07759958246643,1.842621,1.5296572499999999,1.7887155000000001,1.8695737500000003,1.8101737500000001,1.5378990000000001,1.842621,1.7293155000000002,1.8171638571428572
42,1426.5426734926282,1427.0643326724726,147.75799845347942,2.15419479,1.7343606774999998,2.100828345,2.1808780125,2.1220720125,1.78652001,2.15419479,1.9948794878571432,2.1289922185714287
43,1393.5734861875148,1426.5426734926282,147.18372180533837,2.15419479,1.7343606774999998,2.100828345,2.1808780125,2.1220720125,1.78652001,2.15419479,1.9948794878571432,2.1289922185714287
44,1382.009584639185,1393.5734861875148,146.61167714241674,2.15419479,1.7343606774999998,2.100828345,2.1808780125,2.1220720125,1.78652001,2.15419479,1.9948794878571432,2.1289922185714287
47,1372.3017151657718,1382.009584639185,144.908848485016,2.15419479,1.7343606774999998,2.100828345,2.1808780125,2.1220720125,1.78652001,2.15419479,1.9948794878571432,2.1289922185714287
48,1366.56302463858,1372.3017151657718,144.3456453510743,2.15419479,1.7343606774999998,2.100828345,2.1808780125,2.1220720125,1.78652001,2.15419479,1.9948794878571432,2.1289922185714287
50,1347.3585327799697,1366.56302463858,143.22579741622883,2.4626528421000002,1.7170170707249999,2.07982006155,2.324069232375,2.265851292375,1.7686548099000001,2.3801528421,2.172930692978572,2.2397022963857145
51,1352.0789573789216,1347.3585327799697,142.66913563325662,2.4626528421000002,1.7170170707249999,2.07982006155,2.324069232375,2.265851292375,1.7686548099000001,2.3801528421,2.172930692978572,2.2397022963857145
52,1343.0237851138386,1347.3585327799697,142.11463737351983,2.4626528421000002,1.7170170707249999,2.07982006155,2.324069232375,2.265851292375,1.7686548099000001,2.3801528421,2.172930692978572,2.2397022963857145
53,1347.9338848849238,1343.0237851138386,141.56229422826303,2.4626528421000002,1.7170170707249999,2.07982006155,2.324069232375,2.265851292375,1.7686548099000001,2.3801528421,2.172930692978572,2.2397022963857145
54,1337.4214058346047,1343.0237851138386,141.01209782141228,2.4626528421000002,1.7170170707249999,2.07982006155,2.324069232375,2.265851292375,1.7686548099000001,2.3801528421,2.172930692978572,2.2397022963857145
57,1331.5062854768767,1337.4214058346047,139.37430575811536,2.4626528421000002,1.7170170707249999,2.07982006155,2.324069232375,2.265851292375,1.7686548099000001,2.3801528421,2.172930692978572,2.2397022963857145
58,1321.047115305972,1331.5062854768767,138.83261319334395,2.4626528421000002,1.7170170707249999,2.07982006155,2.324069232375,2.265851292375,1.7686548099000001,2.3801528421,2.172930692978572,2.2397022963857145
59,1315.6632742589904,1321.047115305972,138.29302597240283,2.4626528421000002,1.7170170707249999,2.07982006155,2.324069232375,2.265851292375,1.7686548099000001,2.3801528421,2.172930692978572,2.2397022963857145
60,1305.9779990965835,1315.6632742589904,137.7555359126568,2.4626528421000002,1.7170170707249999,2.2870218609345003,2.5288285400512502,2.57319277945125,2.0209682618010003,2.518351313679,2.3432013860487864,2.4813052734218575
62,1304.3396700502285,1305.9779990965835,136.68681470509893,2.4626528421000002,1.7170170707249999,2.2870218609345003,2.5288285400512502,2.57319277945125,2.0209682618010003,2.518351313679,2.3432013860487864,2.4813052734218575
63,1299.7884960547017,1304.3396700502285,136.15556735053602,2.4626528421000002,1.7170170707249999,2.2870218609345003,2.5288285400512502,2.57319277945125,2.0209682618010003,2.518351313679,2.3432013860487864,2.4813052734218575
64,1302.8462098117143,1299.7884960547017,135.62638474342032,2.4626528421000002,1.7170170707249999,2.2870218609345003,2.5288285400512502,2.57319277945125,2.0209682618010003,2.518351313679,2.3432013860487864,2.4813052734218575
65,1300.403057312159,1299.7884960547017,135.09925885889865,2.4626528421000002,1.7170170707249999,2.2870218609345003,2.5288285400512502,2.57319277945125,2.0209682618010003,2.518351313679,2.3432013860487864,2.4813052734218575
66,1291.201458743129,1299.7884960547017,134.57418170330726,2.4626528421000002,1.7170170707249999,2.2870218609345003,2.5288285400512502,2.57319277945125,2.0209682618010003,2.518351313679,2.3432013860487864,2.4813052734218575
67,1263.519329565206,1291.201458743129,134.0511453140506,2.4626528421000002,1.7170170707249999,2.2870218609345003,2.5288285400512502,2.57319277945125,2.0209682618010003,2.518351313679,2.3432013860487864,2.4813052734218575
68,1263.3227912855286,1263.519329565206,133.53014175948053,2.4626528421000002,1.7170170707249999,2.2870218609345003,2.5288285400512502,2.57319277945125,2.0209682618010003,2.518351313679,2.3432013860487864,2.4813052734218575
70,1275.588484173194,1263.3227912855286,132.49420158182372,2.606359647012334,2.0298469000177497,2.2870218609345003,2.833540254650738,2.745460851656737,2.0209682618010003,2.76116780054221,2.5397693721882986,2.695063649259067
72,1256.5133635312006,1263.3227912855286,131.46629833154182,2.606359647012334,2.0298469000177497,2.2870218609345003,2.833540254650738,2.745460851656737,2.0209682618010003,2.76116780054221,2.5397693721882986,2.695063649259067
73,1246.3410423500952,1256.5133635312006,130.95534105045007,2.606359647012334,2.0298469000177497,2.2870218609345003,2.833540254650738,2.745460851656737,2.0209682618010003,2.76116780054221,2.5397693721882986,2.695063649259067
77,1245.9698790029588,1246.3410423500952,128.9312937722912,2.606359647012334,2.0298469000177497,2.2870218609345003,2.833540254650738,2.745460851656737,2.0209682618010003,2.76116780054221,2.5397693721882986,2.695063649259067
80,1245.313450604443,1245.9698790029588,127.43381481188108,2.5802960505422106,2.105548431017572,2.2641516423251553,3.1352048521042306,2.85300624314017,2.1657585791829903,2.7335561225367875,2.7123716784664156,2.698113012766476
81,1240.5853929490295,1245.313450604443,126.9385301924631,2.5802960505422106,2.105548431017572,2.2641516423251553,3.1352048521042306,2.85300624314017,2.1657585791829903,2.7335561225367875,2.7123716784664156,2.698113012766476
84,1239.142600250599,1240.5853929490295,125.46419628432504,2.5802960505422106,2.105548431017572,2.2641516423251553,3.1352048521042306,2.85300624314017,2.1657585791829903,2.7335561225367875,2.7123716784664156,2.698113012766476
85,1238.5784837408678,1239.142600250599,124.97656678975959,2.5802960505422106,2.105548431017572,2.2641516423251553,3.1352048521042306,2.85300624314017,2.1657585791829903,2.7335561225367875,2.7123716784664156,2.698113012766476
86,1238.148183302407,1238.5784837408678,124.49083251734525,2.5802960505422106,2.105548431017572,2.2641516423251553,3.1352048521042306,2.85300624314017,2.1657585791829903,2.7335561225367875,2.7123716784664156,2.698113012766476
87,1234.3820419959345,1238.148183302407,124.00698610110635,2.5802960505422106,2.105548431017572,2.2641516423251553,3.1352048521042306,2.85300624314017,2.1657585791829903,2.7335561225367875,2.7123716784664156,2.698113012766476
91,1221.2125953947873,1234.3820419959345,122.0903326780594,2.8019930900367886,2.2494929467073965,2.241510125901904,3.3238528035831885,3.0444761807087684,2.3091009933911604,2.8712205613114197,2.9052479616817517,2.8361318826388113
95,1219.5286529140606,1221.2125953947873,120.20330307266642,2.8019930900367886,2.2494929467073965,2.241510125901904,3.3238528035831885,3.0444761807087684,2.3091009933911604,2.8712205613114197,2.9052479616817517,2.8361318826388113
98,1198.8610010554482,1219.5286529140606,118.80719579679415,2.8019930900367886,2.2494929467073965,2.241510125901904,3.3238528035831885,3.0444761807087684,2.3091009933911604,2.8712205613114197,2.9052479616817517,2.8361318826388113
99,1199.9322371842786,1198.8610010554482,118.34543941885633,2.8019930900367886,2.2494929467073965,2.241510125901904,3.3238528035831885,3.0444761807087684,2.3091009933911604,2.8712205613114197,2.9052479616817517,2.8361318826388113
100,1189.6735627634991,1198.8610010554482,117.88547770454251,2.9389731591364208,2.2269980172403225,2.369095024642885,3.4006142755473565,3.3440314189016807,2.418009983457249,2.8800083556983056,3.0411954820649343,2.887770563812423
102,1180.6385553760294,1189.6735627634991,116.97091039331795,2.9389731591364208,2.2269980172403225,2.369095024642885,3.4006142755473565,3.3440314189016807,2.418009983457249,2.8800083556983056,3.0411954820649343,2.887770563812423
103,1177.6894750716049,1180.6385553760294,116.51629092734143,2.9389731591364208,2.2269980172403225,2.369095024642885,3.4006142755473565,3.3440314189016807,2.418009983457249,2.8800083556983056,3.0411954820649343,2.887770563812423
104,1174.6052306344684,1177.6894750716049,116.06343838664701,2.9389731591364208,2.2269980172403225,2.369095024642885,3.4006142755473565,3.3440314189016807,2.418009983457249,2.8800083556983056,3.0411954820649343,2.887770563812423
105,1174.1240726996125,1174.6052306344684,115.61234590389797,2.9389731591364208,2.2269980172403225,2.369095024642885,3.4006142755473565,3.3440314189016807,2.418009983457249,2.8800083556983056,3.0411954820649343,2.887770563812423
108,1169.315359588426,1174.1240726996125,114.2695605296931,2.9389731591364208,2.2269980172403225,2.369095024642885,3.4006142755473565,3.3440314189016807,2.418009983457249,2.8800083556983056,3.0411954820649343,2.887770563812423
109,1169.0262146475382,1169.315359588426,113.82544013761697,2.9389731591364208,2.2269980172403225,2.369095024642885,3.4006142755473565,3.3440314189016807,2.418009983457249,2.8800083556983056,3.0411954820649343,2.887770563812423
111,1167.9645706521362,1169.0262146475382,112.94237100338043,3.239583427545057,2.4247280370679194,2.675404074396456,3.531608132791883,3.475591104712664,2.6138298836226768,3.1812082721413226,3.208783527244285,3.122892858174299
112,1172.9645706521362,1167.9645706521362,112.5034088698121,3.239583427545057,2.4247280370679194,2.675404074396456,3.531608132791883,3.475591104712664,2.6138298836226768,3.1812082721413226,3.208783527244285,3.122892858174299
113,1167.9645706521362,1167.9645706521362,112.06615280769417,3.239583427545057,2.4247280370679194,2.675404074396456,3.531608132791883,3.475591104712664,2.6138298836226768,3.1812082721413226,3.208783527244285,3.122892858174299
114,1167.6194077942714,1167.9645706521362,111.63059618620456,3.239583427545057,2.4247280370679194,2.675404074396456,3.531608132791883,3.475591104712664,2.6138298836226768,3.1812082721413226,3.208783527244285,3.122892858174299
120,1167.1907027684185,1167.6194077942714,109.05257661903194,3.537187593269606,2.4671474233639072,2.8136500336524914,3.5337920514639642,3.4808351936655373,2.91769158478645,3.2693961894199095,3.296695691971842,3.1799972629258892
121,1158.094256162893,1167.1907027684185,108.62873257114684,3.537187593269606,2.4671474233639072,2.8136500336524914,3.5337920514639642,3.4808351936655373,2.91769158478645,3.2693961894199095,3.296695691971842,3.1799972629258892
