it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,1087.7243672265988,1087.7243672265988,78.462727522595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1028.3812635782158,1087.7243672265988,78.18890689088323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,981.8043655861666,1028.3812635782158,77.37316517299386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,932.656279792099,981.8043655861666,77.1031469154829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,911.1662942777317,932.656279792099,76.8340709725228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,906.0877109061229,911.1662942777317,76.56593405560737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,882.6545933913385,906.0877109061229,75.76712474797132,1.21,1.056,0.99,1.155,1.155,1.21,1.056,1.188,1.1
14,871.9001617846454,882.6545933913385,74.71499453188689,1.21,1.056,0.99,1.155,1.155,1.21,1.056,1.188,1.1
15,862.308567230348,871.9001617846454,74.45425280588492,1.21,1.056,0.99,1.155,1.155,1.21,1.056,1.188,1.1
17,840.3649549679876,862.308567230348,73.93549600178731,1.21,1.056,0.99,1.155,1.155,1.21,1.056,1.188,1.1
23,821.2453302919532,840.3649549679876,72.40081152613647,1.5279,1.0454400000000001,1.3101,1.4734500000000001,1.2848785714285715,1.3629,1.0454400000000001,1.3175485714285713,1.199
24,826.5527808384461,821.2453302919532,72.1481458774331,1.5279,1.0454400000000001,1.3101,1.4734500000000001,1.2848785714285715,1.3629,1.0454400000000001,1.3175485714285713,1.199
25,788.3872557778498,821.2453302919532,71.89636198583561,1.5279,1.0454400000000001,1.3101,1.4734500000000001,1.2848785714285715,1.3629,1.0454400000000001,1.3175485714285713,1.199
26,770.2777825739012,788.3872557778498,71.64545677417226,1.5279,1.0454400000000001,1.3101,1.4734500000000001,1.2848785714285715,1.3629,1.0454400000000001,1.3175485714285713,1.199
28,751.6634615543455,770.2777825739012,71.1462701356174,1.5279,1.0454400000000001,1.3101,1.4734500000000001,1.2848785714285715,1.3629,1.0454400000000001,1.3175485714285713,1.199
29,737.529210192539,751.6634615543455,70.89798260792648,1.5279,1.0454400000000001,1.3101,1.4734500000000001,1.2848785714285715,1.3629,1.0454400000000001,1.3175485714285713,1.199
30,735.46542252716,737.529210192539,70.65056155849632,1.677621,1.1999856000000002,1.4994990000000001,1.4734500000000001,1.2720297857142857,1.5112709999999998,1.2824856000000002,1.5243730857142856,1.349867142857143
33,734.241874178579,735.46542252716,69.91346709398353,1.677621,1.1999856000000002,1.4994990000000001,1.4734500000000001,1.2720297857142857,1.5112709999999998,1.2824856000000002,1.5243730857142856,1.349867142857143
34,753.485722901347,734.241874178579,69.6694818244258,1.677621,1.1999856000000002,1.4994990000000001,1.4734500000000001,1.2720297857142857,1.5112709999999998,1.2824856000000002,1.5243730857142856,1.349867142857143
35,751.0247363747352,734.241874178579,69.42634801903135,1.677621,1.1999856000000002,1.4994990000000001,1.4734500000000001,1.2720297857142857,1.5112709999999998,1.2824856000000002,1.5243730857142856,1.349867142857143
36,731.1916857100775,734.241874178579,69.18406270634529,1.677621,1.1999856000000002,1.4994990000000001,1.4734500000000001,1.2720297857142857,1.5112709999999998,1.2824856000000002,1.5243730857142856,1.349867142857143
37,710.9500783325851,731.1916857100775,68.94262292528258,1.677621,1.1999856000000002,1.4994990000000001,1.4734500000000001,1.2720297857142857,1.5112709999999998,1.2824856000000002,1.5243730857142856,1.349867142857143
38,702.3509021779707,710.9500783325851,68.7020257250918,1.677621,1.1999856000000002,1.4994990000000001,1.4734500000000001,1.2720297857142857,1.5112709999999998,1.2824856000000002,1.5243730857142856,1.349867142857143
42,688.6969619308134,702.3509021779707,67.74800407768178,1.88084479,1.3529857440000002,1.6870040100000003,1.6587155,1.506809487857143,1.5628249566666665,1.5396607440000003,1.8391293548571428,1.4806541857142859
49,674.8337502860825,688.6969619308134,66.11023318195308,1.88084479,1.3529857440000002,1.6870040100000003,1.6587155,1.506809487857143,1.5628249566666665,1.5396607440000003,1.8391293548571428,1.4806541857142859
50,649.7008663775728,674.8337502860825,65.87952050621436,1.9720363421000002,1.3394558865600001,1.6701339699000004,1.724628345,1.4917413929785714,1.7671967070999999,1.5242641365600003,1.9307380613085714,1.465847643857143
54,629.8173139623005,649.7008663775728,64.96469320642827,1.9720363421000002,1.3394558865600001,1.6701339699000004,1.724628345,1.4917413929785714,1.7671967070999999,1.5242641365600003,1.9307380613085714,1.465847643857143
65,615.6779952330961,629.8173139623005,62.51389200162155,2.0183159786790004,1.3260613276944002,1.8184326302010003,1.70738206155,1.4768239790487858,1.749524740029,1.6740214951944004,2.0057163949812,1.4511891674185715
71,631.7489805429619,615.6779952330961,61.216286592102385,1.9981328188922103,1.3128007144174563,1.8002483038989903,1.7728082409344998,1.5091985964011552,1.7320294926287099,1.6572812802424564,1.9856592310313879,1.5026772757443858
72,620.887596452161,615.6779952330961,61.00265289881953,1.9981328188922103,1.3128007144174563,1.8002483038989903,1.7728082409344998,1.5091985964011552,1.7320294926287099,1.6572812802424564,1.9856592310313879,1.5026772757443858
75,620.1643978986393,615.6779952330961,60.36621467695081,1.9981328188922103,1.3128007144174563,1.8002483038989903,1.7728082409344998,1.5091985964011552,1.7320294926287099,1.6572812802424564,1.9856592310313879,1.5026772757443858
76,601.788481039557,615.6779952330961,60.15554757986154,1.9981328188922103,1.3128007144174563,1.8002483038989903,1.7728082409344998,1.5091985964011552,1.7320294926287099,1.6572812802424564,1.9856592310313879,1.5026772757443858
81,601.2143893203628,601.788481039557,59.113188762087354,1.9781514907032882,1.3656727072732817,1.9822458208600002,1.9300801585251548,1.4941066104371437,1.7847091977024228,1.8173751341066986,2.020802638721074,1.625150502986942
83,583.7631619988356,601.2143893203628,58.70132016188544,1.9781514907032882,1.3656727072732817,1.9822458208600002,1.9300801585251548,1.4941066104371437,1.7847091977024228,1.8173751341066986,2.020802638721074,1.625150502986942
85,580.7149141448137,583.7631619988356,58.292321238440685,1.9781514907032882,1.3656727072732817,1.9822458208600002,1.9300801585251548,1.4941066104371437,1.7847091977024228,1.8173751341066986,2.020802638721074,1.625150502986942
