it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,5013.240254028455,5013.240254028455,361.62884266358896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4877.3909591064,5013.240254028455,360.0916097008936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4723.622671581194,4877.3909591064,358.560911297677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4720.046192874748,4723.622671581194,357.0367196764528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4559.6549619827765,4720.046192874748,355.51900717781274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4394.590160449424,4559.6549619827765,354.007746259925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4220.900547963145,4394.590160449424,352.50290949803406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4192.285467344917,4220.900547963145,351.00446958396316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4068.293416055727,4192.285467344917,349.51239932561873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4042.863532304016,4068.293416055727,348.02667164649694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,3986.2561999784557,4042.863532304016,346.5472595851923,1.155,1.155,1.254,1.2375,1.2375,1.2375,1.2375,1.2650000000000001,1.254
11,3948.9644045539985,3986.2561999784557,345.07413629490856,1.155,1.155,1.254,1.2375,1.2375,1.2375,1.2375,1.2650000000000001,1.254
12,3966.9720883894183,3948.9644045539985,343.60727504297125,1.155,1.155,1.254,1.2375,1.2375,1.2375,1.2375,1.2650000000000001,1.254
13,3861.37169146666,3948.9644045539985,342.1466492103428,1.155,1.155,1.254,1.2375,1.2375,1.2375,1.2375,1.2650000000000001,1.254
14,3748.2483234280216,3861.37169146666,340.6922322911393,1.155,1.155,1.254,1.2375,1.2375,1.2375,1.2375,1.2650000000000001,1.254
15,3748.530956263466,3748.2483234280216,339.24399789214976,1.155,1.155,1.254,1.2375,1.2375,1.2375,1.2375,1.2650000000000001,1.254
16,3694.3058574956344,3748.2483234280216,337.80191973235685,1.155,1.155,1.254,1.2375,1.2375,1.2375,1.2375,1.2650000000000001,1.254
18,3684.3126410877,3694.3058574956344,334.9361275644012,1.155,1.155,1.254,1.2375,1.2375,1.2375,1.2375,1.2650000000000001,1.254
19,3617.509749940939,3684.3126410877,333.5123615508908,1.155,1.155,1.254,1.2375,1.2375,1.2375,1.2375,1.2650000000000001,1.254
20,3535.9563078500614,3617.509749940939,332.0946477649378,1.36345,1.29345,1.254,1.555125,1.390125,1.510125,1.510125,1.53735,1.4864600000000001
21,3517.9563078500614,3535.9563078500614,330.6829604793806,1.36345,1.29345,1.254,1.555125,1.390125,1.510125,1.510125,1.53735,1.4864600000000001
22,3511.2054743119293,3517.9563078500614,329.27727407642,1.36345,1.29345,1.254,1.555125,1.390125,1.510125,1.510125,1.53735,1.4864600000000001
23,3456.3146702863346,3511.2054743119293,327.8775630471545,1.36345,1.29345,1.254,1.555125,1.390125,1.510125,1.510125,1.53735,1.4864600000000001
24,3389.9011551381423,3456.3146702863346,326.48380199111733,1.36345,1.29345,1.254,1.555125,1.390125,1.510125,1.510125,1.53735,1.4864600000000001
25,3376.6525896977646,3389.9011551381423,325.0959656158155,1.36345,1.29345,1.254,1.555125,1.390125,1.510125,1.510125,1.53735,1.4864600000000001
26,3298.677647334598,3376.6525896977646,323.71402873627073,1.36345,1.29345,1.254,1.555125,1.390125,1.510125,1.510125,1.53735,1.4864600000000001
27,3296.4597728073036,3298.677647334598,322.3379662745627,1.36345,1.29345,1.254,1.555125,1.390125,1.510125,1.510125,1.53735,1.4864600000000001
28,3214.361885432111,3296.4597728073036,320.9677532593736,1.36345,1.29345,1.254,1.555125,1.390125,1.510125,1.510125,1.53735,1.4864600000000001
29,3150.3970441612796,3214.361885432111,319.60336482553515,1.36345,1.29345,1.254,1.555125,1.390125,1.510125,1.510125,1.53735,1.4864600000000001
31,3099.5552528019557,3150.3970441612796,316.89196276927987,1.6798155000000001,1.6105155,1.57146,1.8695737500000003,1.7062237500000001,1.82502375,1.82502375,1.8519765000000001,1.8015954
32,3089.7485823602688,3099.5552528019557,315.5448999432228,1.6798155000000001,1.6105155,1.57146,1.8695737500000003,1.7062237500000001,1.82502375,1.82502375,1.8519765000000001,1.8015954
34,3045.8564490307335,3089.7485823602688,312.8679284694902,1.6798155000000001,1.6105155,1.57146,1.8695737500000003,1.7062237500000001,1.82502375,1.82502375,1.8519765000000001,1.8015954
35,2986.65903153392,3045.8564490307335,311.53797124298404,1.6798155000000001,1.6105155,1.57146,1.8695737500000003,1.7062237500000001,1.82502375,1.82502375,1.8519765000000001,1.8015954
36,2939.0513143461917,2986.65903153392,310.21366747617566,1.6798155000000001,1.6105155,1.57146,1.8695737500000003,1.7062237500000001,1.82502375,1.82502375,1.8519765000000001,1.8015954
37,2918.0512153913255,2939.0513143461917,308.89499313700907,1.6798155000000001,1.6105155,1.57146,1.8695737500000003,1.7062237500000001,1.82502375,1.82502375,1.8519765000000001,1.8015954
38,2828.507637994876,2918.0512153913255,307.5819242955851,1.6798155000000001,1.6105155,1.57146,1.8695737500000003,1.7062237500000001,1.82502375,1.82502375,1.8519765000000001,1.8015954
40,2828.749763884519,2828.507637994876,304.97250789454927,1.9930173450000002,1.924410345,1.8857454000000002,1.9828780125,2.0191615125,1.9717735125,2.1367735125,2.1084567350000003,1.948579446
42,2809.562600422682,2828.507637994876,302.38522886055665,1.9930173450000002,1.924410345,1.8857454000000002,1.9828780125,2.0191615125,1.9717735125,2.1367735125,2.1084567350000003,1.948579446
43,2805.100395876625,2809.562600422682,301.0998321045544,1.9930173450000002,1.924410345,1.8857454000000002,1.9828780125,2.0191615125,1.9717735125,2.1367735125,2.1084567350000003,1.948579446
45,2786.406054037354,2805.100395876625,298.54540748405003,1.9930173450000002,1.924410345,1.8857454000000002,1.9828780125,2.0191615125,1.9717735125,2.1367735125,2.1084567350000003,1.948579446
48,2743.9367453533596,2786.406054037354,294.75434585767744,1.9930173450000002,1.924410345,1.8857454000000002,1.9828780125,2.0191615125,1.9717735125,2.1367735125,2.1084567350000003,1.948579446
49,2714.0828433457773,2743.9367453533596,293.501386903926,1.9930173450000002,1.924410345,1.8857454000000002,1.9828780125,2.0191615125,1.9717735125,2.1367735125,2.1084567350000003,1.948579446
50,2710.762181163534,2714.0828433457773,292.2537541011265,1.9730871715500002,2.10766624155,2.1968879460000004,2.183049232375,2.163969897375,2.199555777375,2.235405777375,2.250229310507143,2.1490936515400003
51,2704.3969454353964,2710.762181163534,291.01142480856606,1.9730871715500002,2.10766624155,2.1968879460000004,2.183049232375,2.163969897375,2.199555777375,2.235405777375,2.250229310507143,2.1490936515400003
52,2683.0810569764976,2704.3969454353964,289.77437648177425,1.9730871715500002,2.10766624155,2.1968879460000004,2.183049232375,2.163969897375,2.199555777375,2.235405777375,2.250229310507143,2.1490936515400003
53,2678.432491962778,2683.0810569764976,288.54258667211394,1.9730871715500002,2.10766624155,2.1968879460000004,2.183049232375,2.163969897375,2.199555777375,2.235405777375,2.250229310507143,2.1490936515400003
54,2677.6545026199788,2678.432491962778,287.316033026374,1.9730871715500002,2.10766624155,2.1968879460000004,2.183049232375,2.163969897375,2.199555777375,2.235405777375,2.250229310507143,2.1490936515400003
55,2690.5728327228394,2677.6545026199788,286.0946932863636,1.9730871715500002,2.10766624155,2.1968879460000004,2.183049232375,2.163969897375,2.199555777375,2.235405777375,2.250229310507143,2.1490936515400003
56,2688.9390968334633,2677.6545026199788,284.87854528850846,1.9730871715500002,2.10766624155,2.1968879460000004,2.183049232375,2.163969897375,2.199555777375,2.235405777375,2.250229310507143,2.1490936515400003
57,2686.155446963847,2677.6545026199788,283.66756696344834,1.9730871715500002,2.10766624155,2.1968879460000004,2.183049232375,2.163969897375,2.199555777375,2.235405777375,2.250229310507143,2.1490936515400003
59,2648.967793358035,2677.6545026199788,281.2610315229423,1.9730871715500002,2.10766624155,2.1968879460000004,2.183049232375,2.163969897375,2.199555777375,2.235405777375,2.250229310507143,2.1490936515400003
60,2633.9418480647287,2648.967793358035,280.06543073625124,2.2833562998345003,2.2565895791345,2.4399190665400003,2.49121874005125,2.35733019840125,2.5075602196012503,2.4655517196012497,2.4297270174020715,2.4316027150246002
61,2609.626857327321,2633.9418480647287,278.87491227907236,2.2833562998345003,2.2565895791345,2.4399190665400003,2.49121874005125,2.35733019840125,2.5075602196012503,2.4655517196012497,2.4297270174020715,2.4316027150246002
