it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,2287.999353177672,2287.999353177672,165.0442660193292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2287.999353177672,2287.999353177672,164.4071544603364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2218.559223039979,2287.999353177672,161.8832075452618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2214.867798982413,2218.559223039979,161.25829845134731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2184.3728484303538,2214.867798982413,160.63580166060856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2169.9244832997742,2184.3728484303538,160.0157078609605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2151.329535493208,2169.9244832997742,159.39800777626508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2070.889331566196,2151.329535493208,158.78269216619236,1.155,1.1785714285714286,1.155,0.99,1.155,1.155,1.155,1.188,1.155
11,2002.2840907083967,2070.889331566196,158.16975182608246,1.155,1.1785714285714286,1.155,0.99,1.155,1.155,1.155,1.188,1.155
15,1946.7436070096392,2002.2840907083967,155.74156031282408,1.155,1.1785714285714286,1.155,0.99,1.155,1.155,1.155,1.188,1.155
19,1935.0392960313661,1946.7436070096392,153.3506459271896,1.155,1.1785714285714286,1.155,0.99,1.155,1.155,1.155,1.188,1.155
21,1885.2991480788835,1935.0392960313661,152.16898847768874,1.3084500000000001,1.1667857142857143,1.4734500000000001,1.3101,1.36345,1.14345,1.14345,1.3411199999999999,1.2672
22,1837.3257598067314,1885.2991480788835,151.58157866444492,1.3084500000000001,1.1667857142857143,1.4734500000000001,1.3101,1.36345,1.14345,1.14345,1.3411199999999999,1.2672
26,1820.8261857607463,1837.3257598067314,149.25452751446252,1.3084500000000001,1.1667857142857143,1.4734500000000001,1.3101,1.36345,1.14345,1.14345,1.3411199999999999,1.2672
27,1790.1162590507633,1820.8261857607463,148.67836823910582,1.3084500000000001,1.1667857142857143,1.4734500000000001,1.3101,1.36345,1.14345,1.14345,1.3411199999999999,1.2672
29,1803.6263672327389,1790.1162590507633,147.532713453323,1.3084500000000001,1.1667857142857143,1.4734500000000001,1.3101,1.36345,1.14345,1.14345,1.3411199999999999,1.2672
30,1797.6743092329682,1790.1162590507633,146.9632008047607,1.2953655000000002,1.155117857142857,1.7437155,1.461999,1.4598155000000002,1.2070155,1.3300155,1.4237088,1.452528
