it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,1251.6995673190559,1251.6995673190559,90.29103792270315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1251.6995673190559,1251.6995673190559,89.96962189985385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1234.3685981145484,1251.6995673190559,89.64935004659347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1229.9304658549686,1234.3685981145484,89.33021828993265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1202.1018861677321,1229.9304658549686,89.01222257138093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1179.5337993319265,1202.1018861677321,88.69535884689519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1133.159348609329,1179.5337993319265,86.81772371639262,1.2375,1.056,1.1,0.99,1.1,1.155,1.1219999999999999,0.99,1.1733333333333333
12,1096.2622580025247,1133.159348609329,86.50867191998242,1.2375,1.056,1.1,0.99,1.1,1.155,1.1219999999999999,0.99,1.1733333333333333
13,1094.0239809919658,1096.2622580025247,86.20072027926366,1.2375,1.056,1.1,0.99,1.1,1.155,1.1219999999999999,0.99,1.1733333333333333
14,1098.8425220825427,1094.0239809919658,85.89386487792665,1.2375,1.056,1.1,0.99,1.1,1.155,1.1219999999999999,0.99,1.1733333333333333
15,1094.0239809919658,1094.0239809919658,85.58810181360288,1.2375,1.056,1.1,0.99,1.1,1.155,1.1219999999999999,0.99,1.1733333333333333
17,1040.1161971988147,1094.0239809919658,84.97983715592947,1.2375,1.056,1.1,0.99,1.1,1.155,1.1219999999999999,0.99,1.1733333333333333
18,1004.6630477510912,1040.1161971988147,84.67732782710303,1.2375,1.056,1.1,0.99,1.1,1.155,1.1219999999999999,0.99,1.1733333333333333
19,997.073685774579,1004.6630477510912,84.37589536423783,1.2375,1.056,1.1,0.99,1.1,1.155,1.1219999999999999,0.99,1.1733333333333333
20,980.3792703540418,997.073685774579,84.07553593393048,1.555125,1.222106666666667,1.419,1.1825999999999999,1.419,1.3459500000000002,1.3487799999999999,1.2276,1.3849333333333333
23,956.146045416102,980.3792703540418,83.18085770872082,1.555125,1.222106666666667,1.419,1.1825999999999999,1.419,1.3459500000000002,1.3487799999999999,1.2276,1.3849333333333333
25,939.7784407178151,956.146045416102,82.58970105415024,1.555125,1.222106666666667,1.419,1.1825999999999999,1.419,1.3459500000000002,1.3487799999999999,1.2276,1.3849333333333333
26,873.960435337111,939.7784407178151,82.29570007850675,1.555125,1.222106666666667,1.419,1.1825999999999999,1.419,1.3459500000000002,1.3487799999999999,1.2276,1.3849333333333333
27,844.7584514348754,873.960435337111,82.00274568097865,1.555125,1.222106666666667,1.419,1.1825999999999999,1.419,1.3459500000000002,1.3487799999999999,1.2276,1.3849333333333333
28,844.6067302400589,844.7584514348754,81.71083413598049,1.555125,1.222106666666667,1.419,1.1825999999999999,1.419,1.3459500000000002,1.3487799999999999,1.2276,1.3849333333333333
29,844.3657599032215,844.6067302400589,81.41996173118912,1.555125,1.222106666666667,1.419,1.1825999999999999,1.419,1.3459500000000002,1.3487799999999999,1.2276,1.3849333333333333
31,836.3203299917445,844.3657599032215,80.84131955896217,1.8695737500000003,1.5398856000000003,1.7348100000000002,1.3027739999999999,1.5698100000000001,1.5304905000000002,1.6652922,1.435324,1.701084
32,819.2515021455159,836.3203299917445,80.55354243276747,1.8695737500000003,1.5398856000000003,1.7348100000000002,1.3027739999999999,1.5698100000000001,1.5304905000000002,1.6652922,1.435324,1.701084
36,808.2629040989734,819.2515021455159,79.41264175163235,1.8695737500000003,1.5398856000000003,1.7348100000000002,1.3027739999999999,1.5698100000000001,1.5304905000000002,1.6652922,1.435324,1.701084
37,808.3645476767146,808.2629040989734,79.12995040082943,1.8695737500000003,1.5398856000000003,1.7348100000000002,1.3027739999999999,1.5698100000000001,1.5304905000000002,1.6652922,1.435324,1.701084
38,803.5674655308866,808.2629040989734,78.84826536839165,1.8695737500000003,1.5398856000000003,1.7348100000000002,1.3027739999999999,1.5698100000000001,1.5304905000000002,1.6652922,1.435324,1.701084
39,782.7677317021156,803.5674655308866,78.56758307204935,1.8695737500000003,1.5398856000000003,1.7348100000000002,1.3027739999999999,1.5698100000000001,1.5304905000000002,1.6652922,1.435324,1.701084
40,779.8467243329237,782.7677317021156,78.28789994228491,2.0158780125,1.8544867440000004,1.8824619000000002,1.4397462599999997,1.7566119000000002,1.6801855950000002,1.813639278,1.64097076,1.8040731600000002
41,723.8775889894323,779.8467243329237,78.00921242228746,2.0158780125,1.8544867440000004,1.8824619000000002,1.4397462599999997,1.7566119000000002,1.6801855950000002,1.813639278,1.64097076,1.8040731600000002
43,683.3859443885676,723.8775889894323,77.45481004761213,2.0158780125,1.8544867440000004,1.8824619000000002,1.4397462599999997,1.7566119000000002,1.6801855950000002,1.813639278,1.64097076,1.8040731600000002
44,682.5487354842664,683.3859443885676,77.17908814243961,2.0158780125,1.8544867440000004,1.8824619000000002,1.4397462599999997,1.7566119000000002,1.6801855950000002,1.813639278,1.64097076,1.8040731600000002
46,684.1301146934486,682.5487354842664,76.63058536420594,2.0158780125,1.8544867440000004,1.8824619000000002,1.4397462599999997,1.7566119000000002,1.6801855950000002,1.813639278,1.64097076,1.8040731600000002
47,683.9803322908051,682.5487354842664,76.35779751567702,2.0158780125,1.8544867440000004,1.8824619000000002,1.4397462599999997,1.7566119000000002,1.6801855950000002,1.813639278,1.64097076,1.8040731600000002
50,682.5517833021715,682.5487354842664,75.54524653989817,2.198219232375,2.1659418765600003,1.9736372810000002,1.5253487973999997,2.0690457810000003,1.83538373905,1.84550288522,1.7570610524,1.9760324284000002
