it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,5174.085953760438,5174.085953760438,373.2314073311714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5174.085953760438,5174.085953760438,371.63898524111744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5137.993954318967,5174.085953760438,370.0533573491483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5079.11603513335,5137.993954318967,365.33694959964527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4868.508113530475,5079.11603513335,363.77820985420044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4871.397709311204,4868.508113530475,362.2261205983836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4839.026979961212,4868.508113530475,360.680653457341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4836.590424930152,4839.026979961212,359.14178017728256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4730.403202100437,4836.590424930152,357.6094726249652,1.155,1.125,1.155,1.21,1.188,1.155,1.15,1.188,1.18
12,4562.97304819847,4730.403202100437,354.5644427702332,1.155,1.125,1.155,1.21,1.188,1.155,1.15,1.188,1.18
13,4504.485730790976,4562.97304819847,353.05166479945007,1.155,1.125,1.155,1.21,1.188,1.155,1.15,1.188,1.18
14,4308.856627898637,4504.485730790976,351.54534121865316,1.155,1.125,1.155,1.21,1.188,1.155,1.15,1.188,1.18
15,4205.65433174194,4308.856627898637,350.04544448966374,1.155,1.125,1.155,1.21,1.188,1.155,1.15,1.188,1.18
16,4165.978425988842,4205.65433174194,348.551947191797,1.155,1.125,1.155,1.21,1.188,1.155,1.15,1.188,1.18
17,4095.7265963462078,4165.978425988842,347.0648220213607,1.155,1.125,1.155,1.21,1.188,1.155,1.15,1.188,1.18
18,4067.8879710097235,4095.7265963462078,345.5840417911561,1.155,1.125,1.155,1.21,1.188,1.155,1.15,1.188,1.18
19,4036.467219312205,4067.8879710097235,344.1095794299806,1.155,1.125,1.155,1.21,1.188,1.155,1.15,1.188,1.18
20,4027.8754781041926,4036.467219312205,342.6414079821334,1.4734500000000001,1.11375,1.4734500000000001,1.5279,1.50612,1.4734500000000001,1.1384999999999998,1.4236199999999999,1.4982
21,4009.943584856419,4027.8754781041926,341.1795006069221,1.4734500000000001,1.11375,1.4734500000000001,1.5279,1.50612,1.4734500000000001,1.1384999999999998,1.4236199999999999,1.4982
22,3930.2578035260403,4009.943584856419,339.72383057817245,1.4734500000000001,1.11375,1.4734500000000001,1.5279,1.50612,1.4734500000000001,1.1384999999999998,1.4236199999999999,1.4982
23,3914.6758991518946,3930.2578035260403,338.2743712837396,1.4734500000000001,1.11375,1.4734500000000001,1.5279,1.50612,1.4734500000000001,1.1384999999999998,1.4236199999999999,1.4982
24,3903.74418423284,3914.6758991518946,336.8310962250215,1.4734500000000001,1.11375,1.4734500000000001,1.5279,1.50612,1.4734500000000001,1.1384999999999998,1.4236199999999999,1.4982
25,3834.611432330312,3903.74418423284,335.3939790164746,1.4734500000000001,1.11375,1.4734500000000001,1.5279,1.50612,1.4734500000000001,1.1384999999999998,1.4236199999999999,1.4982
26,3831.968333636203,3834.611432330312,333.96299338513137,1.4734500000000001,1.11375,1.4734500000000001,1.5279,1.50612,1.4734500000000001,1.1384999999999998,1.4236199999999999,1.4982
27,3812.0807649618882,3831.968333636203,332.53811317012,1.4734500000000001,1.11375,1.4734500000000001,1.5279,1.50612,1.4734500000000001,1.1384999999999998,1.4236199999999999,1.4982
28,3737.0921674898673,3812.0807649618882,331.1193123221863,1.4734500000000001,1.11375,1.4734500000000001,1.5279,1.50612,1.4734500000000001,1.1384999999999998,1.4236199999999999,1.4982
29,3597.384181318479,3737.0921674898673,329.7065649032172,1.4734500000000001,1.11375,1.4734500000000001,1.5279,1.50612,1.4734500000000001,1.1384999999999998,1.4236199999999999,1.4982
30,3525.6527993296622,3597.384181318479,328.2998450857667,1.7887155000000001,1.4326125,1.7887155000000001,1.842621,1.8210587999999999,1.7887155000000001,1.457115,1.7393838,1.813218
31,3501.322768568846,3525.6527993296622,326.89912715258384,1.7887155000000001,1.4326125,1.7887155000000001,1.842621,1.8210587999999999,1.7887155000000001,1.457115,1.7393838,1.813218
32,3479.8471180619554,3501.322768568846,325.5043854961422,1.7887155000000001,1.4326125,1.7887155000000001,1.842621,1.8210587999999999,1.7887155000000001,1.457115,1.7393838,1.813218
33,3427.629944522412,3479.8471180619554,324.11559461817205,1.7887155000000001,1.4326125,1.7887155000000001,1.842621,1.8210587999999999,1.7887155000000001,1.457115,1.7393838,1.813218
34,3440.3724596817992,3427.629944522412,322.7327291291941,1.7887155000000001,1.4326125,1.7887155000000001,1.842621,1.8210587999999999,1.7887155000000001,1.457115,1.7393838,1.813218
35,3399.480429028702,3427.629944522412,321.3557637480554,1.7887155000000001,1.4326125,1.7887155000000001,1.842621,1.8210587999999999,1.7887155000000001,1.457115,1.7393838,1.813218
36,3393.6975807517783,3399.480429028702,319.98467330146684,1.7887155000000001,1.4326125,1.7887155000000001,1.842621,1.8210587999999999,1.7887155000000001,1.457115,1.7393838,1.813218
37,3338.8807922705,3393.6975807517783,318.6194327235435,1.7887155000000001,1.4326125,1.7887155000000001,1.842621,1.8210587999999999,1.7887155000000001,1.457115,1.7393838,1.813218
38,3314.8363029874226,3338.8807922705,317.26001705534594,1.7887155000000001,1.4326125,1.7887155000000001,1.842621,1.8210587999999999,1.7887155000000001,1.457115,1.7393838,1.813218
39,3165.6122288471306,3314.8363029874226,315.90640144442403,1.7887155000000001,1.4326125,1.7887155000000001,1.842621,1.8210587999999999,1.7887155000000001,1.457115,1.7393838,1.813218
40,3046.090791949551,3165.6122288471306,314.5585611443627,2.100828345,1.6882863750000001,2.100828345,1.842621,2.1028482119999996,2.100828345,1.77254385,2.051989962,2.0890858199999998
41,3043.508208859518,3046.090791949551,313.2164715143295,2.100828345,1.6882863750000001,2.100828345,1.842621,2.1028482119999996,2.100828345,1.77254385,2.051989962,2.0890858199999998
42,3042.0251605906215,3043.508208859518,311.880108018624,2.100828345,1.6882863750000001,2.100828345,1.842621,2.1028482119999996,2.100828345,1.77254385,2.051989962,2.0890858199999998
43,2998.8941823204077,3042.0251605906215,310.5494462262294,2.100828345,1.6882863750000001,2.100828345,1.842621,2.1028482119999996,2.100828345,1.77254385,2.051989962,2.0890858199999998
44,2997.251667014092,2998.8941823204077,309.22446181036577,2.100828345,1.6882863750000001,2.100828345,1.842621,2.1028482119999996,2.100828345,1.77254385,2.051989962,2.0890858199999998
46,2967.742871544505,2997.251667014092,306.59142831962976,2.100828345,1.6882863750000001,2.100828345,1.842621,2.1028482119999996,2.100828345,1.77254385,2.051989962,2.0890858199999998
47,2965.0186462988686,2967.742871544505,305.283331108389,2.100828345,1.6882863750000001,2.100828345,1.842621,2.1028482119999996,2.100828345,1.77254385,2.051989962,2.0890858199999998
48,2962.2348697904954,2965.0186462988686,303.9808150000624,2.100828345,1.6882863750000001,2.100828345,1.842621,2.1028482119999996,2.100828345,1.77254385,2.051989962,2.0890858199999998
50,2942.076627481351,2962.2348697904954,301.3924309448345,2.24482006155,1.89140351125,2.40982006155,2.15419479,2.3293197298799995,2.40982006155,2.0188184115,2.30647006238,2.3156949618
51,2869.0816879445747,2942.076627481351,300.106515677833,2.24482006155,1.89140351125,2.40982006155,2.15419479,2.3293197298799995,2.40982006155,2.0188184115,2.30647006238,2.3156949618
52,2861.625010855644,2869.0816879445747,298.8260868726803,2.24482006155,1.89140351125,2.40982006155,2.15419479,2.3293197298799995,2.40982006155,2.0188184115,2.30647006238,2.3156949618
53,2857.0544502877865,2861.625010855644,297.55112112094173,2.24482006155,1.89140351125,2.40982006155,2.15419479,2.3293197298799995,2.40982006155,2.0188184115,2.30647006238,2.3156949618
54,2842.7043516678395,2857.0544502877865,296.2815951140565,2.24482006155,1.89140351125,2.40982006155,2.15419479,2.3293197298799995,2.40982006155,2.0188184115,2.30647006238,2.3156949618
55,2835.4848989203256,2842.7043516678395,295.01748564291165,2.24482006155,1.89140351125,2.40982006155,2.15419479,2.3293197298799995,2.40982006155,2.0188184115,2.30647006238,2.3156949618
56,2764.3201706395107,2835.4848989203256,293.75876959741794,2.24482006155,1.89140351125,2.40982006155,2.15419479,2.3293197298799995,2.40982006155,2.0188184115,2.30647006238,2.3156949618
58,2727.8152409158424,2764.3201706395107,291.2574258356112,2.24482006155,1.89140351125,2.40982006155,2.15419479,2.3293197298799995,2.40982006155,2.0188184115,2.30647006238,2.3156949618
59,2709.1643865520577,2727.8152409158424,290.01475239044385,2.24482006155,1.89140351125,2.40982006155,2.15419479,2.3293197298799995,2.40982006155,2.0188184115,2.30647006238,2.3156949618
62,2673.794123561828,2709.1643865520577,286.31845346900496,2.5523718609345,2.2024894761375,2.7157218609345,2.3526528421000004,2.5535265325811993,2.7157218609345,2.3286302273849997,2.5584053617561997,2.622538012182
64,2692.7508514301476,2673.794123561828,283.8804636910101,2.5523718609345,2.2024894761375,2.7157218609345,2.3526528421000004,2.5535265325811993,2.7157218609345,2.3286302273849997,2.5584053617561997,2.622538012182
65,2658.2570461370647,2673.794123561828,282.66926465353146,2.5523718609345,2.2024894761375,2.7157218609345,2.3526528421000004,2.5535265325811993,2.7157218609345,2.3286302273849997,2.5584053617561997,2.622538012182
67,2611.4489806906668,2658.2570461370647,280.2623475672276,2.5523718609345,2.2024894761375,2.7157218609345,2.3526528421000004,2.5535265325811993,2.7157218609345,2.3286302273849997,2.5584053617561997,2.622538012182
69,2615.245452028597,2611.4489806906668,277.8759252802697,2.5523718609345,2.2024894761375,2.7157218609345,2.3526528421000004,2.5535265325811993,2.7157218609345,2.3286302273849997,2.5584053617561997,2.622538012182
70,2578.6245832903237,2611.4489806906668,276.6903450932362,2.526848142325155,2.3404645813761253,2.7985646423251547,2.569126313679,2.6479912672553874,2.820564642325155,2.4553439251111495,2.7353213081386376,2.67631263206018
71,2576.9511140645736,2578.6245832903237,275.5098232802898,2.526848142325155,2.3404645813761253,2.7985646423251547,2.569126313679,2.6479912672553874,2.820564642325155,2.4553439251111495,2.7353213081386376,2.67631263206018
72,2571.9511140645736,2576.9511140645736,274.3343382594671,2.526848142325155,2.3404645813761253,2.7985646423251547,2.569126313679,2.6479912672553874,2.820564642325155,2.4553439251111495,2.7353213081386376,2.67631263206018
73,2559.2009883522073,2571.9511140645736,273.1638685408855,2.526848142325155,2.3404645813761253,2.7985646423251547,2.569126313679,2.6479912672553874,2.820564642325155,2.4553439251111495,2.7353213081386376,2.67631263206018
75,2550.7425391354236,2559.2009883522073,270.8378895089671,2.526848142325155,2.3404645813761253,2.7985646423251547,2.569126313679,2.6479912672553874,2.820564642325155,2.4553439251111495,2.7353213081386376,2.67631263206018
76,2547.537614807441,2550.7425391354236,269.68233767274404,2.526848142325155,2.3404645813761253,2.7985646423251547,2.569126313679,2.6479912672553874,2.820564642325155,2.4553439251111495,2.7353213081386376,2.67631263206018
77,2536.793888828877,2547.537614807441,268.5317160922123,2.526848142325155,2.3404645813761253,2.7985646423251547,2.569126313679,2.6479912672553874,2.820564642325155,2.4553439251111495,2.7353213081386376,2.67631263206018
78,2530.8785578703705,2536.793888828877,267.386003732036,2.526848142325155,2.3404645813761253,2.7985646423251547,2.569126313679,2.6479912672553874,2.820564642325155,2.4553439251111495,2.7353213081386376,2.67631263206018
80,2537.815465196502,2530.8785578703705,265.1092229797672,2.8315796609019035,2.482059935562364,3.1005789959019032,2.79093505054221,2.896511354582833,3.1223589959019034,2.650790485860038,2.982968095057251,2.897049505739578
81,2574.303783214301,2530.8785578703705,263.9781129642174,2.8315796609019035,2.482059935562364,3.1005789959019032,2.79093505054221,2.896511354582833,3.1223589959019034,2.650790485860038,2.982968095057251,2.897049505739578
83,2560.1904168534556,2530.8785578703705,261.73035026075337,2.8315796609019035,2.482059935562364,3.1005789959019032,2.79093505054221,2.896511354582833,3.1223589959019034,2.650790485860038,2.982968095057251,2.897049505739578
84,2564.167126850469,2530.8785578703705,260.6136564798815,2.8315796609019035,2.482059935562364,3.1005789959019032,2.79093505054221,2.896511354582833,3.1223589959019034,2.650790485860038,2.982968095057251,2.897049505739578
85,2553.4301670715904,2530.8785578703705,259.50172716365427,2.8315796609019035,2.482059935562364,3.1005789959019032,2.79093505054221,2.896511354582833,3.1223589959019034,2.650790485860038,2.982968095057251,2.897049505739578
