it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,2506.654384614943,2506.654384614943,180.81689249532775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2506.654384614943,2506.654384614943,180.1106750667918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2492.0645790531303,2506.654384614943,178.70650426738214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2437.9257941500255,2492.0645790531303,178.00852939255333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2314.5182854349705,2437.9257941500255,177.31328060163452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2292.5265572466296,2314.5182854349705,175.9309187239945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2244.631298783268,2292.5265572466296,175.2437844673075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2193.003895156493,2244.631298783268,174.5593339542748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2120.7923570721146,2193.003895156493,173.8775567029855,1.2375,1.1,1.188,0.99,1.2375,0.99,1.21,1.254,1.155
12,2095.15363446721,2120.7923570721146,172.52198026253026,1.2375,1.1,1.188,0.99,1.2375,0.99,1.21,1.254,1.155
14,2058.6839659494167,2095.15363446721,171.1769721065665,1.2375,1.1,1.188,0.99,1.2375,0.99,1.21,1.254,1.155
15,2058.7764878916723,2058.6839659494167,170.5084053626225,1.2375,1.1,1.188,0.99,1.2375,0.99,1.21,1.254,1.155
16,2009.9763806397084,2058.6839659494167,169.84244984310672,1.2375,1.1,1.188,0.99,1.2375,0.99,1.21,1.254,1.155
18,1968.046576895854,2009.9763806397084,168.5183317225042,1.2375,1.1,1.188,0.99,1.2375,0.99,1.21,1.254,1.155
21,1965.4820918200219,1968.046576895854,166.55148504931856,1.423125,1.164,1.188,1.2001,1.225125,1.1781,1.4003999999999999,1.35146,1.35345
22,1935.7234518086805,1965.4820918200219,165.90098409298002,1.423125,1.164,1.188,1.2001,1.225125,1.1781,1.4003999999999999,1.35146,1.35345
24,1932.1168841641957,1935.7234518086805,164.60759425159333,1.423125,1.164,1.188,1.2001,1.225125,1.1781,1.4003999999999999,1.35146,1.35345
27,1898.652824475804,1932.1168841641957,162.68639140187625,1.423125,1.164,1.188,1.2001,1.225125,1.1781,1.4003999999999999,1.35146,1.35345
28,1839.6314729513342,1898.652824475804,162.05098636085336,1.423125,1.164,1.188,1.2001,1.225125,1.1781,1.4003999999999999,1.35146,1.35345
30,1818.6461609963915,1839.6314729513342,160.78761169980643,1.40889375,1.48236,1.50612,1.270599,1.34487375,1.331319,1.716396,1.6019454000000002,1.4059155
31,1799.118759252451,1818.6461609963915,160.15962273202783,1.40889375,1.48236,1.50612,1.270599,1.34487375,1.331319,1.716396,1.6019454000000002,1.4059155
32,1782.4221914425736,1799.118759252451,159.53408650385697,1.40889375,1.48236,1.50612,1.270599,1.34487375,1.331319,1.716396,1.6019454000000002,1.4059155
33,1775.6233474688813,1782.4221914425736,158.9109934356167,1.40889375,1.48236,1.50612,1.270599,1.34487375,1.331319,1.716396,1.6019454000000002,1.4059155
34,1750.3197224934997,1775.6233474688813,158.2903339850452,1.40889375,1.48236,1.50612,1.270599,1.34487375,1.331319,1.716396,1.6019454000000002,1.4059155
35,1730.0212045031608,1750.3197224934997,157.67209864714997,1.40889375,1.48236,1.50612,1.270599,1.34487375,1.331319,1.716396,1.6019454000000002,1.4059155
36,1676.0672245761866,1730.0212045031608,157.05627795406215,1.40889375,1.48236,1.50612,1.270599,1.34487375,1.331319,1.716396,1.6019454000000002,1.4059155
37,1628.7651489813936,1676.0672245761866,156.44286247489163,1.40889375,1.48236,1.50612,1.270599,1.34487375,1.331319,1.716396,1.6019454000000002,1.4059155
38,1587.5887302665178,1628.7651489813936,155.83184281558255,1.40889375,1.48236,1.50612,1.270599,1.34487375,1.331319,1.716396,1.6019454000000002,1.4059155
39,1547.2228852445012,1587.5887302665178,155.22320961876946,1.40889375,1.48236,1.50612,1.270599,1.34487375,1.331319,1.716396,1.6019454000000002,1.4059155
40,1531.5748410585759,1547.2228852445012,154.61695356363404,1.40889375,1.7975364,1.8210587999999999,1.5878930100000002,1.6614250125,1.64800581,2.02923204,1.9159259460000002,1.7218563450000002
