it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,2585.6720285017245,2585.6720285017245,186.51681064423724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2495.7760930583026,2585.6720285017245,185.78544793016596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2463.6112960986434,2495.7760930583026,185.05695300810595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2379.8340874648816,2463.6112960986434,184.3313146329789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2348.1729190277943,2379.8340874648816,183.60852160380017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2198.2663850538206,2348.1729190277943,182.88856276350612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2122.8493418271737,2198.2663850538206,182.1714269987817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2055.949380821289,2122.8493418271737,180.7455804604964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2059.3443412822144,2055.949380821289,180.03684767750818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2011.9757809563635,2055.949380821289,179.33089395089524,1.2375,0.99,1.1099999999999999,1.2375,1.155,1.18,1.2375,1.2650000000000001,1.152
11,1985.5370350494952,2011.9757809563635,178.62770838352608,1.2375,0.99,1.1099999999999999,1.2375,1.155,1.18,1.2375,1.2650000000000001,1.152
12,1927.1943299243273,1985.5370350494952,177.92728012099863,1.2375,0.99,1.1099999999999999,1.2375,1.155,1.18,1.2375,1.2650000000000001,1.152
13,1873.3415308503108,1927.1943299243273,177.22959835147265,1.2375,0.99,1.1099999999999999,1.2375,1.155,1.18,1.2375,1.2650000000000001,1.152
14,1864.8319450089657,1873.3415308503108,176.53465230550293,1.2375,0.99,1.1099999999999999,1.2375,1.155,1.18,1.2375,1.2650000000000001,1.152
15,1863.9314973426892,1864.8319450089657,175.842431255873,1.2375,0.99,1.1099999999999999,1.2375,1.155,1.18,1.2375,1.2650000000000001,1.152
16,1841.0182299374956,1863.9314973426892,175.15292451742954,1.2375,0.99,1.1099999999999999,1.2375,1.155,1.18,1.2375,1.2650000000000001,1.152
18,1831.3217288047244,1841.0182299374956,173.78201144281553,1.2375,0.99,1.1099999999999999,1.2375,1.155,1.18,1.2375,1.2650000000000001,1.152
19,1809.6528582179776,1831.3217288047244,173.10058394517293,1.2375,0.99,1.1099999999999999,1.2375,1.155,1.18,1.2375,1.2650000000000001,1.152
20,1770.2824522478522,1809.6528582179776,172.42182843544603,1.445125,1.3101,1.4288999999999998,1.555125,1.4734500000000001,1.4157,1.555125,1.5823500000000001,1.42923
22,1769.9564018210106,1770.2824522478522,171.07229151162784,1.445125,1.3101,1.4288999999999998,1.555125,1.4734500000000001,1.4157,1.555125,1.5823500000000001,1.42923
24,1730.3228150417478,1769.9564018210106,169.7333173450039,1.445125,1.3101,1.4288999999999998,1.555125,1.4734500000000001,1.4157,1.555125,1.5823500000000001,1.42923
25,1723.5156213842881,1730.3228150417478,169.06776543462655,1.445125,1.3101,1.4288999999999998,1.555125,1.4734500000000001,1.4157,1.555125,1.5823500000000001,1.42923
26,1693.932574339905,1723.5156213842881,168.40482326140827,1.445125,1.3101,1.4288999999999998,1.555125,1.4734500000000001,1.4157,1.555125,1.5823500000000001,1.42923
27,1646.2952398839927,1693.932574339905,167.7444805921457,1.445125,1.3101,1.4288999999999998,1.555125,1.4734500000000001,1.4157,1.555125,1.5823500000000001,1.42923
