it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,2305.69229254295,2305.69229254295,166.32054181338097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2243.190133445319,2305.69229254295,165.67786539035257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2189.239672619729,2243.190133445319,165.0376723225382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2138.3641661752927,2189.239672619729,164.3999530140466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2123.9285531822698,2138.3641661752927,163.13189747671947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2045.1487416326383,2123.9285531822698,162.5015422409254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2032.076093127812,2045.1487416326383,161.8736227502519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1961.395568860668,2032.076093127812,160.00438481143706,1.21,1.155,0.99,0.99,1.2375,1.188,0.99,1.1314285714285715,1.2375
11,1943.5876572838306,1961.395568860668,159.38611454500867,1.21,1.155,0.99,0.99,1.2375,1.188,0.99,1.1314285714285715,1.2375
13,1923.0760848755108,1943.5876572838306,158.15673192405026,1.21,1.155,0.99,0.99,1.2375,1.188,0.99,1.1314285714285715,1.2375
15,1873.5412513403958,1923.0760848755108,156.93683182064385,1.21,1.155,0.99,0.99,1.2375,1.188,0.99,1.1314285714285715,1.2375
18,1818.6185787659779,1873.5412513403958,155.1246015446269,1.21,1.155,0.99,0.99,1.2375,1.188,0.99,1.1314285714285715,1.2375
20,1827.955404577861,1818.6185787659779,153.9280889766001,1.3864714285714286,1.14345,0.9801,1.3101,1.3665535714285715,1.3411199999999999,1.3101,1.1201142857142856,1.4084583333333334
21,1830.4809657781666,1818.6185787659779,153.33329802324883,1.3864714285714286,1.14345,0.9801,1.3101,1.3665535714285715,1.3411199999999999,1.3101,1.1201142857142856,1.4084583333333334
22,1782.4899622686428,1818.6185787659779,152.7408053916694,1.3864714285714286,1.14345,0.9801,1.3101,1.3665535714285715,1.3411199999999999,1.3101,1.1201142857142856,1.4084583333333334
