Group 6
83
1109,29
28

2072,49,102,98,37,137,198,149,206
18.73566247752625534.0,39.16227766016838,46.16227766016838,49.16227766016838,59.99070478491457,64.99070478491457,76.06177259678005,81.29784057427983,99.35322571241724

20546,146,28,6,106,128,207
19.028.0,34.12310562561766,47.20586815591588,72.0,87.0,103.81024967590665,111.81024967590665

20542,76,58,142,3,15,115,176,103,158,207
28.83772233983162232.0,35.16227766016838,61.0,67.0,77.0,89.12310562561765,100.95153275036385,112.95153275036385,125.95153275036385,128.18760072786364,135.01602785260982

20619,13,119,8,85,73,113,173,185,47,108,147,206
3.16904810515469939.0,24.099019513592786,32.33508749109257,41.9374127581352,53.9374127581352,63.9374127581352,67.76583988288138,77.00190786038118,86.23797583788097,91.40025349804934,109.210503173956,121.210503173956,135.15477508395514

2057,92,107,192,207
47.76393202250021450.0,63.24621125123532,77.49242250247065,92.30267217837729,107.30267217837729

20718,27,40,118,127,140,206
47.169048105154753.0,74.0,90.32455532033676,102.93010659580075,121.17631784703607,127.25908037733429,140.50172106445356

20631,30,131,130,207
27.92893218813452435.0,41.12310562561766,56.164700204409954,69.16470020440995,82.16470020440995

20556,39,64,156,164,139,206
81.084.0,88.0,90.0,108.770329614269,116.83258736256755,128.83258736256755,136.30472331756712

20545,96,41,141,196,145,207
17.83772233983162221.0,29.0,42.0384048104053,54.86683193515149,66.10289991265128,86.39853005363827,94.63459803113805

20543,143,205
64.066.0,74.0,83.3851648071345

20536,136,90,190,208
40.92893218813452448.0,67.7648230602334,74.7648230602334,81.59325018497958,87.59325018497958

20548,148,24,124,205
11.87689437438233916.0,32.0,44.82842712474619,64.720871114196,76.80363364449423

20771,99,35,171,199,135,205
61.8377223398316265.0,72.23606797749979,86.35917360311745,97.421431351416,107.07828560090837,120.02255751090755,129.62810878637154

20865,80,74,55,25,180,174,155,125,165,205
23.35718928427281324.357189284272813,60.0,71.16227766016839,76.16227766016837,87.48683298050514,91.90104654287823,103.11214909380621,115.11214909380621,131.1949116241044,139.3571892842728,147.7714028466459

20520,120,75,57,157,175,208
39.75735931288071644.0,52.28010988928052,66.0,74.0,94.0415945787923,103.36614989912906,110.78036346150215

20560,87,187,160,208
69.39444872453673.0,78.0,90.07106781186548,106.87731628673117,124.09686074402406

20561,59,11,95,111,195,159,161,207
22.025.0,43.12626769902602,54.0,70.0,72.23606797749979,86.96399003885765,93.12626769902603,101.12626769902603,109.40637758830655

20610,110,88,62,78,16,116,38,188,68,162,178,168,138,206
27.6754446796632434.0,41.41421356237309,46.41421356237309,64.029986668237,70.029986668237,71.44420023061011,90.4442002306101,93.60647789077848,99.60647789077848,100.60647789077848,112.43490501552466,120.04045629098864,138.2207961784876,154.0517480733329,163.0517480733329

20781,1,69,52,181,72,89,189,152,101,169,172,205
21.024.0,36.0,41.0,45.0,53.0,55.236067977499786,62.236067977499786,65.23606797749979,74.23606797749979,90.29832572579834,94.29832572579834,99.29832572579834,110.39734523939111

20744,5,105,29,54,144,4,104,129,154,208
22.23716718202842224.237167182028422,39.0,48.0,67.05538513813741,79.1544046517302,87.23716718202843,100.23716718202843,101.23716718202843,104.65138074440151,106.65138074440151,110.65138074440151

20522,122,205
67.1715728752538270.0,83.16227766016839,88.57649122254148

20717,82,21,83,182,117,183,121,207
45.82185441512669447.236067977499786,61.0,74.0,84.0,99.0,107.23606797749979,112.23606797749979,122.30713578936526,135.52668024665815

2059,84,26,77,109,14,177,126,114,184,205
19.61483519286549525.0,36.0,42.0,52.82842712474619,62.15298244508295,73.0,83.16227766016839,95.16227766016837,102.37338021109636,115.7897880760951,124.0258560535949

20691,12,93,112,193,79,191,179,205
51.69230059649975654.52072772124595,64.0,74.3851648071345,86.87044618137307,91.28465974374618,98.28465974374618,101.52072772124595,108.52072772124595,118.81635786223295

20886,186,94,32,194,132,63,163,207
12.78045554270711322.0,41.60107523773827,43.60107523773827,54.60107523773827,58.60107523773827,59.60107523773827,70.76335289790666,85.81873803604407,94.94184366166172

20723,33,123,133,205
54.76393202250021457.0,64.65685424949238,77.86340986522609,84.86340986522609,89.86340986522609

20753,67,97,51,153,34,167,134,197,151,206
16.61483519286549522.0,49.0,65.0,68.23606797749979,89.0063975917688,95.47853354676838,103.86369835390288,114.86369835390288,124.33583430890246,133.45893993452012,149.5300077463856

20766,70,100,50,166,150,200,170,208
24.28732339902238428.529964086141668,37.766032063641454,55.0,64.0,78.52996408614166,87.91512889327618,95.32934245564927,101.80147841064885,110.03754638814864
