Group 6
20
458,60
14

10450,3,53,100,103
51.614835192865557.0,61.236067977499786,70.30713578936526,84.30713578936526,90.91268706482926

10326,76,14,43,93,64,104
18.1715728752538121.0,26.162277660168378,53.0,63.0,74.21110255092798,85.21110255092798,100.21110255092798

10424,38,74,88,103
27.75735931288071632.0,56.0,62.41421356237309,74.61225258955866,83.61225258955866

10423,11,27,61,77,47,73,97,104
3.15114219820389613.0,20.0,45.0,48.0,62.180339887498945,71.18033988749895,83.5834641249318,93.9976776873049,106.65453193679728

1045,55,29,46,96,18,79,68,104
11.013.0,27.8309518948453,42.0,44.0,58.0,69.23606797749979,78.47870866461908,89.71477664211886,96.95084461961865

1047,39,49,57,89,17,67,99,103
34.8377223398316238.0,47.0,60.0,65.0,78.81024967590665,84.04631765340645,96.09619327452734,103.09619327452734,118.86652288879634

10332,6,82,56,20,45,95,70,104
18.83772233983162222.0,31.0,32.0,42.06225774829855,49.22453540846693,54.46060338596672,63.46060338596672,69.46060338596672,70.46060338596672

10436,2,52,86,103
11.013.0,41.0,61.81665382639197,62.81665382639197,73.97893148656036

10344,94,33,28,83,40,90,78,104
16.019.0,26.47213595499958,51.0,57.60555127546399,76.4544090772601,87.4544090772601,102.39868098725924,103.39868098725924,108.39868098725924

10316,30,66,21,80,71,103
9.011.0,25.0,37.16227766016838,39.57649122254148,51.57649122254148,58.65925375283969,61.65925375283969

10335,13,12,22,63,85,31,62,72,81,104
16.018.0,20.414213562373096,34.47647131067164,41.712539288171435,45.126752850544534,47.540966412917626,56.0,68.09901951359278,73.92744663833898,87.39958259333855,98.81379615571164

10434,9,59,8,48,58,84,98,104
11.58578643762690413.0,33.0,40.3851648071345,50.3851648071345,56.7993783695076,70.40492964497159,75.40492964497159,88.40492964497159,96.11313357747096

10437,19,69,87,4,42,15,65,54,92,104
19.39444872453601223.0,35.071067811865476,42.35117770114599,57.35117770114599,68.47428332676365,78.59738895238132,87.59738895238132,99.2029402278453,105.36521788801369,117.75038269514819,131.5813345899935

1041,10,51,25,60,75,41,91,103
12.017.0,37.0,44.3851648071345,55.85730076213409,59.093368739633874,79.43503280376021,89.43503280376021,99.09188705325258,107.09188705325258
