Group 6
36
464,81
13

1064,54,15,3,53,65,30,80,107
12.61483519286549518.0,24.0,29.0,33.0,50.54400374531753,66.31433335958654,69.31433335958654,75.31433335958654,82.31433335958654

10718,7,57,25,68,26,76,75,106
20.1421356237309526.14213562373095,45.0,59.14213562373095,64.14213562373095,71.14213562373095,73.97056274847714,98.49473744473717,105.73080542223695,121.1339296596698

1075,38,35,55,88,85,21,71,107
23.83772233983162227.0,38.236067977499786,46.06449510224598,50.30056307974577,57.423668705363426,66.25209583010962,71.63726063724413,84.1225420114827,95.1225420114827

10613,2,11,63,52,43,61,93,107
34.18023709046672639.56540189760123,45.0,54.40312423743285,60.56540189760123,65.66442141119401,70.9004893886938,78.72891651344,89.20105246843957,101.67318842343914

10732,49,6,82,56,99,106
33.92893218813452441.0,47.0,52.0,61.94427190999916,74.94427190999916,80.94427190999916,89.35848547237225

10636,14,86,16,24,64,66,74,107
9.58578643762690411.0,31.656854249492383,37.485281374238575,55.0,68.0,77.65685424949238,85.7396167797906,96.28362052510813,103.28362052510813

10634,8,58,47,84,97,22,72,107
6.5278640450004211.0,33.0,42.324555320336756,45.56062329783655,58.03275925283613,63.19503691300451,72.6092504753776,90.37958008964661,101.37958008964661

10648,39,20,89,98,70,106
15.87689437438233920.0,40.0,46.8309518948453,48.8309518948453,54.8309518948453,62.65937901959149,72.65937901959148

10740,50,41,90,91,100,29,79,106
9.011.0,24.0,48.0,61.40175425099138,70.40175425099139,78.63782222849116,88.24337350395516,99.24337350395516,105.34239301754793

1079,12,59,37,42,87,62,92,106
40.041.0,56.0,60.236067977499786,75.62123278463429,85.44965990938049,94.77421522971724,101.15938003685174,114.76493131231574,126.30893505763326

10627,77,45,10,60,95,107
27.83772233983162231.0,42.16227766016838,59.0,67.12310562561765,82.95405752046295,88.78248464520915,94.61343654005445

10646,1,51,17,96,67,31,81,107
13.8377223398316217.0,40.0,51.0,54.236067977499786,60.70820393249937,68.53663105724556,71.53663105724556,85.92179586438007,92.39393181937965

10719,44,28,94,23,69,33,78,83,73,106
12.94091007833605317.940910078336053,27.0,32.8309518948453,42.53915582734467,45.53915582734467,58.94091007833605,66.94091007833605,68.35512364070914,74.59119161820894,81.59119161820894,96.99431585564179
