Group 6
71
1133,95
34

20848,2,29,102,148,46,129,146,207
16.9377422517014525.0,33.0,43.16227766016838,52.57649122254148,57.69959684815913,69.93566482565893,77.26022014599567,83.73235610099526,92.56330799584056

2077,85,185,107,205
25.1715728752538128.0,41.0,56.810249675906654,65.88131748777212,66.88131748777212

20711,69,169,111,205
47.5278640450004252.0,60.0,77.54400374531753,84.78007172281733,97.2522076778169

20813,88,80,188,4,104,113,180,207
28.61483519286549534.0,79.0,83.0,102.18033988749895,103.18033988749895,109.18033988749895,113.65247584249853,117.65247584249853,126.71473359079708

20514,90,190,114,207
22.92893218813452430.0,77.0,87.24264068711929,99.24264068711929,109.71477664211886

20723,12,70,112,123,170,208
41.8377223398316245.0,56.099019513592786,68.0990195135928,81.3791294028733,91.62534065410863,98.62534065410863,108.7243601677014

20859,24,124,159,207
61.5278640450004266.0,75.23606797749979,90.48227922873511,103.60538485435278,109.07752080935236

20872,30,172,89,189,130,206
60.90098048640721466.0,80.24621125123532,94.24621125123532,95.66042481360842,111.71580995174583,122.95845063886512,136.08155626448277

20584,184,61,31,131,161,207
32.614835192865538.0,55.180339887498945,59.594553449872045,79.0,96.48683298050514,100.72290095800493,105.84600658362258

20767,32,49,167,132,149,208
22.023.0,76.0,84.54400374531753,94.39286154711363,98.39286154711363,110.39286154711363,117.71741686745038

20518,35,20,135,71,171,118,120,207
34.041.0,45.0,54.60555127546399,60.01976483783709,69.0,86.21954445729288,97.21954445729288,101.45561243479267,104.45561243479267

20740,96,52,196,140,152,205
35.76393202250021438.0,59.61577310586391,78.0,91.61577310586391,98.69853563616212,109.69853563616212,116.9096381870901

20637,3,98,137,103,198,207
48.1655250605964453.16552506059644,83.0,91.0,110.16552506059644,115.32780272076482,123.32780272076482,136.15875461561012

20845,63,163,66,145,166,207
36.8377223398316240.0,48.0,64.63014581273465,81.0,91.0,97.0,109.0

2071,101,206
22.61483519286549528.0,36.8309518948453,41.99322955501368

20751,34,151,50,134,150,205
11.016.0,31.0,35.41421356237309,61.0,74.40312423743285,80.50214375102564,84.50214375102564

20853,42,153,142,207
56.76393202250021459.0,77.0,91.05538513813741,102.7122393876298,114.36909363712218

20886,15,186,115,81,181,208
37.5278640450004242.0,50.0,61.21954445729288,72.82509573275688,86.0,97.61577310586391,111.44672500070921

20557,74,174,157,26,126,207
19.83772233983162223.0,34.0,54.40121946685673,64.8865008410953,74.0,78.47213595499957,84.47213595499957

20627,62,127,9,109,162,208
41.75735931288071646.0,54.60555127546399,60.60555127546399,82.0,94.605551275464,106.65542689658488,117.89149487408467

20628,128,207
40.8768943743823445.0,56.44030650891055,67.14851044140993

20665,8,64,164,73,108,93,193,165,173,207
19.75735931288071624.0,35.0,39.41421356237309,46.57649122254148,58.96165602967598,68.28621135001274,73.4484890101811,84.07863482291577,94.07863482291576,103.68418609837975,112.29995920424366

20694,76,194,176,207
10.169048105154716.0,75.0,94.4339811320566,95.4339811320566,97.8481946944297

20577,16,100,177,116,200,207
13.90098048640721619.0,40.0,48.40312423743285,55.8062484748657,58.8062484748657,62.22046203723879,66.22046203723879

20878,75,44,144,178,175,207
20.3431457505076226.0,33.0,66.0,84.18033988749895,86.18033988749895,87.59455344987205,89.00876701224514

20668,19,79,179,168,119,208
84.085.0,90.16227766016839,101.81913190966077,122.27275595673447,134.92961020622684,149.73985988213352,158.73985988213352

2076,82,25,125,106,182,208
66.8768943743823571.0,84.16227766016839,91.57649122254148,99.73876888270985,111.73876888270985,125.8618745083275,137.0979424858273

20533,133,38,21,121,138,208
42.614835192865548.0,54.82842712474619,67.2135919318807,77.31261144547348,82.31261144547348,91.63716676581024,104.79944442597862

20587,10,56,110,156,187,97,197,206
17.90098048640721423.0,34.0,37.236067977499786,45.298325725798335,59.421431351416004,70.421431351416,78.421431351416,109.01269163338999,115.24875961088978

20541,141,208
74.7639320225002177.0,105.0,117.47213595499957

20854,39,92,154,139,192,206
15.5147186257614324.0,37.47213595499958,51.958968935504714,57.958968935504714,61.1212465956731,67.53546015804619,70.69773781821458

20760,22,160,58,122,158,205
51.5278640450004256.0,75.55634918610404,76.55634918610404,83.38477631085024,96.5078819364679,113.21608586896727,126.8184111360099

20791,5,191,47,36,105,43,136,143,147,206
13.9377422517014522.0,34.0,41.47213595499958,72.0,83.23606797749979,88.65028153987288,99.65028153987288,112.28042735260753,124.10885447735372,128.5809904323533,131.74326809252167

20817,117,83,55,99,183,95,155,195,199,206
30.3842268941360938.0,49.77032961426901,65.47853354676838,66.47853354676838,76.89274710914148,97.09078613632704,106.79899006882641,123.7989900688264,137.16830694567938,140.40437492317918,152.87651087817875
