Group 6
59
490,35
14

10641,91,5,7,55,18,36,17,67,57,68,86,106
2.04.0,22.06225774829855,33.06225774829855,36.06225774829855,45.47647131067164,59.0,66.47213595499957,71.47213595499957,76.88634951737268,82.04862717754105,92.4517514149739,96.6878193924737,107.15995534747327

10711,8,6,61,56,58,106
36.169048105154742.0,54.211102550927976,61.625316113301075,66.62531611330107,82.94987143363784,89.04889094723062,103.29153163434991

10646,96,13,10,60,63,106
15.39767473295737324.0,39.45362404707371,55.161827979573076,63.161827979573076,79.16182797957308,91.63396393457265,108.53345887118431

10721,28,45,95,78,71,107
20.7639320225002123.0,41.0,56.0,76.34166406412633,78.57773204162612,89.90228736196289,101.96454511026144

1072,52,19,29,22,69,72,79,107
17.7639320225002120.0,29.06225774829855,41.06225774829855,53.06225774829855,56.298325725798335,67.53439370329812,85.59665145159667,94.59665145159667,106.42507857634286

10642,31,25,92,81,75,107
42.5857864376269144.0,61.8488578017961,72.8488578017961,91.5107615914867,94.5107615914867,99.67303925165508,106.50146637640127

10749,48,99,98,1,51,106
16.017.0,20.414213562373096,24.650281539872886,37.812559200041264,56.0,66.23606797749979,81.31883050779801

10612,37,4,87,23,27,62,77,54,73,107
6.4906885777085117.490688577708511,43.0,48.41421356237309,53.82842712474619,62.53663105724556,73.65973668286323,82.49068857770851,90.10646168357242,101.10646168357242,113.2687393437408,120.2687393437408

10624,38,30,32,88,80,82,74,107
15.69809787765354927.36000166734415,56.0,60.0,64.41421356237309,68.65028153987288,79.0354463470074,85.19772400717576,96.36000166734415,102.45902118093693

1069,34,20,59,84,70,106
28.83772233983162232.0,46.23086738876506,52.0,62.81665382639197,69.23086738876506,75.46693536626486,88.68647982355775

10643,93,3,53,33,83,106
30.033.0,38.16227766016838,58.0,71.0,74.16227766016837,81.2450401904666,97.2450401904666

10635,85,15,65,107
17.021.0,36.099019513592786,47.33508749109257,61.95086059695648,63.95086059695648

10750,100,40,16,44,90,14,64,66,94,106
8.87689437438233913.0,19.414213562373096,34.0,45.0,48.0,53.65685424949238,55.89292222699217,61.055199887160555,65.88362701190674,74.04590467207512,88.16901029769278

10626,47,76,39,89,97,107
5.394448724536019.0,36.0,39.236067977499786,43.70820393249937,50.70820393249937,59.94427190999916,69.19048316123448
