Group 6
26
526.07
15

103,12,2,62,9,52,23,59,73,103
0.2917960675006306,7.0,31.0,33.41421356237309,47.53731918799076,58.43681412460242,62.43681412460242,64.85102768697551,80.25278193796689,90.33554446826511

104,44,4,54,24,94,74,103
47.0,48.0,62.47213595499958,75.67017498218515,81.67017498218515,90.50112687703046,104.74733812826577,115.16155169063886

103,39,46,96,6,30,37,56,80,89,87,103
6.876894374382339,11.0,18.162277660168378,23.39834563766817,52.0,55.16227766016838,67.16227766016839,72.99322955501367,79.40744311738678,90.64351109488656,102.47446298973188,115.54553080159735

103,21,7,57,5,55,71,103
9.771160327621683,18.99070478491457,28.0,41.0,54.16227766016838,65.16227766016837,68.99070478491457,81.37586959204907

103,38,25,8,75,58,88,104
23.42735898161208,27.89949493661166,48.0,60.0,74.07106781186548,85.48528137423857,95.89949493661166,102.31370849898475

103,15,49,65,28,99,78,103
29.78889744907202,37.0,51.0,65.0,74.41421356237309,93.31370849898477,96.14213562373095,103.55634918610404

103,17,10,60,3,67,53,104
9.29179606750063,20.47213595499958,46.0,55.47213595499958,66.47213595499957,73.47213595499957,86.54320376686505,97.54320376686505

103,26,27,43,76,93,77,104
18.272077938642145,31.0,42.242640687119284,60.0,65.12310562561765,77.5262298630505,88.94044342542361,96.94044342542361

103,35,14,85,31,81,64,103
1.8377223398316205,5.0,26.0,32.0,34.0,47.21954445729288,52.31856397088567,63.55463194838546

103,36,29,22,79,33,32,72,82,86,83,103
8.76393202250021,11.0,39.0,47.0,59.82842712474619,67.89949493661166,71.06177259678005,80.06177259678005,91.34188248606057,103.17030961080675,116.77586088627075,135.83124602440816

103,48,98,41,13,20,91,11,63,61,70,103
7.169048105154699,13.0,18.0,25.0,27.82842712474619,42.92744663833898,51.089724298507356,59.089724298507356,65.32579227600715,81.21823626545695,87.82378754092093,100.42933881638493

103,19,16,66,69,104
3.780455542707113,13.0,30.0,42.0,57.099019513592786,66.70457078905677

103,40,90,18,68,103
15.67544467966324,22.0,32.47213595499958,43.0,57.8309518948453,65.8309518948453

103,34,47,1,84,97,51,104
14.585786437626904,16.0,34.87048159266775,42.0,48.70820393249937,53.87048159266775,62.87048159266775,65.69890871741394

103,42,92,45,95,50,100,103
1.7639320225002102,4.0,20.071067811865476,35.45623261899998,43.072005724863885,53.30807370236368,63.379141514229154,74.76430632136366
