Group 6
44
485,55
14

10645,95,106
47.8768943743823452.0,64.65685424949238,75.65685424949238

1074,14,44,18,38,64,54,94,88,68,106
5.5278640450004210.0,22.162277660168378,41.0,51.47213595499958,60.47213595499958,65.47213595499957,77.47213595499957,82.30056307974577,97.49860210693134,105.91281566930444,116.74376756414973

10750,43,100,93,107
43.66854896792512645.08276253029822,48.0,64.08276253029823,71.08276253029823,81.2808015574838

10615,65,37,49,12,87,62,99,106
14.7639320225002117.0,30.47213595499958,35.47213595499958,51.0,62.0,77.295630140987,81.76776609598659,93.86678560957937,110.41078935489689

1069,59,8,34,23,58,84,73,106
17.022.0,32.82842712474619,51.0,61.0,73.36931687685298,76.36931687685298,84.84145283185256,94.84145283185256,100.84145283185256

10611,42,61,92,2,22,52,72,106
26.83772233983162230.0,39.0,44.236067977499786,49.236067977499786,52.650281539872886,60.97483686020965,67.21090483770944,79.21090483770944,86.81645611317343

10641,91,25,7,75,57,3,53,107
4.38422689413609112.0,19.82842712474619,31.0,44.47213595499958,60.37163089161125,65.20005801635743,78.20005801635745,85.27112582822292,89.0995529529691

1061,51,26,76,106
15.1715728752538118.0,25.0,40.94427190999916,52.37825304205576,57.79246660442885

10640,19,6,36,56,31,5,86,69,90,55,81,106
10.91723746970178217.0,25.050821480166697,30.0,44.70820393249937,51.41640786499874,59.41640786499874,63.57868552516712,70.05082148016669,83.0508214801667,95.65637275563068,109.77947838124835,121.94175604141674,128.77018316616292

10629,24,35,79,85,74,106
27.70457078905677431.704570789056774,48.0,53.099019513592786,64.70457078905677,74.41277472155615,77.41277472155613,91.46815985969354

10728,10,17,60,67,78,106
25.92893218813452433.0,44.41421356237309,52.071067811865476,70.12094343298637,77.35701141048615,90.760135647919,104.1453004550535

10648,30,27,20,77,98,70,80,107
30.90098048640721436.0,47.40312423743285,52.81733779980594,64.94044342542361,66.94044342542361,75.1765114029234,82.5616762100579,92.64443874035612,97.64443874035612

10646,96,33,16,39,66,83,89,107
6.012.0,26.45362404707371,28.6896920245735,37.6896920245735,45.6896920245735,51.6896920245735,63.92576000207328,79.0085225323715,91.24459050987129

10647,13,63,21,71,32,97,82,106
14.90098048640721620.0,23.414213562373096,31.48528137423857,36.0,39.0,48.0,50.82842712474619,57.071067811865476,66.07106781186548
